           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
             -105             -105            -22.4      0.020617764      -0.01950174     -0.038425066     -0.049821179     -0.021815864     -0.011236339
              -75             -105            -22.4      0.053711884     -0.004378025     -0.020378157     -0.027730959     -0.010462295    -0.0022149396
              -45             -105            -22.4      0.076411836      0.004125298     -0.014019903     -0.017705549    -0.0057089138   -0.00031568011
              -15             -105            -22.4      0.093648106     0.0054415152    -0.0086017447     -0.011301867    -0.0040414771    6.5516302e-05
               15             -105            -22.4      0.099411249     0.0031445494    -0.0015389405     -0.008466471    -0.0036771696    0.00013513869
               45             -105            -22.4      0.089796938      0.002263336     0.0067245304    -0.0083392244    -0.0028997289    0.00061995717
               75             -105            -22.4      0.065460183     0.0044790474      0.014816399    -0.0082914904    -0.0020299167    0.00077842642
              105             -105            -22.4      0.025734417     0.0064463411      0.022963554    -0.0049893074   -0.00038977384    0.00095405156
             -105              -75            -22.4     -0.024974596     -0.033022635     -0.079074971     -0.089416444     -0.053077064     -0.031038327
              -75              -75            -22.4     -0.045071941     -0.031672932     -0.050691631     -0.054773778     -0.024693971    -0.0074835098
              -45              -75            -22.4     -0.021168802      -0.01756458     -0.048409939      -0.03344189    -0.0083223628   -0.00012010033
              -15              -75            -22.4      0.020565484    -0.0083677713     -0.036284156     -0.018271094    -0.0031096023    0.00082201796
               15              -75            -22.4      0.048814528    -0.0075146966     -0.011557559     -0.011833997    -0.0016178567    0.00073303591
               45              -75            -22.4      0.055888124    -0.0069641597      0.015646582     -0.013277749   -0.00077771838    0.00068735576
               75              -75            -22.4      0.043342713     -0.004059372      0.040322769     -0.015551561   -0.00047162295    0.00063288497
              105              -75            -22.4      0.017099405    0.00013123317      0.061708234    -0.0090969754    0.00068253023    0.00060282816
             -105              -45            -22.4      -0.14664757     -0.093101911     -0.033505712       -0.1082637      -0.14758645     -0.097273506
              -75              -45            -22.4      -0.26633999      -0.11249898     -0.076767378     -0.091923475     -0.054441787     -0.020095486
              -45              -45            -22.4      -0.19650571     -0.060549013      -0.12732439     -0.069343761     -0.018615216    -0.0022342966
              -15              -45            -22.4     -0.084068455     -0.019276371      -0.10240432     -0.033584546    -0.0041591423     0.0010823621
               15              -45            -22.4     -0.011753893    -0.0061379615     -0.045222037     -0.015663389   -0.00054098631    0.00068700535
               45              -45            -22.4      0.017796608    -0.0045631304     0.0096578598     -0.015396167   -0.00023324694    0.00042868825
               75              -45            -22.4       0.02086674    -0.0036207321      0.053451039     -0.020220654    1.3661027e-05    0.00027441466
              105              -45            -22.4     0.0088924477    -0.0010416531      0.085897282     -0.013373714    0.00088665169    0.00029873199
             -105              -15            -22.4      -0.57770753      -0.37278545       0.25918788     -0.014428687       -0.4129644      -0.30686313
              -75              -15            -22.4      -0.80332011      -0.41723478      -0.21196009      -0.21815042      -0.11646653     -0.043471985
              -45              -15            -22.4      -0.44160324      -0.17291842      -0.34833559      -0.18243057     -0.018897649     0.0026870228
              -15              -15            -22.4      -0.18426888     -0.044988606      -0.24386626     -0.080200315    -0.0042495043     0.0015564793
               15              -15            -22.4     -0.062229645    -0.0075407382       -0.1095489     -0.025788475   -0.00091100961    0.00051957706
               45              -15            -22.4     -0.013812792   -0.00095542619     -0.012111159     -0.016408697    2.2707492e-05    0.00026643995
               75              -15            -22.4     0.0014885074   -0.00096713821      0.053574875     -0.021219645    0.00010450262    0.00013762213
              105              -15            -22.4     0.0019682029    -0.0011645206      0.096115798     -0.014956988    0.00065786578   -0.00036889582
             -105               15            -22.4        -2.239337       -1.3335817        1.5868722        0.7593773      -0.86029202      -0.75305581
              -75               15            -22.4       -1.6905322       -1.0825075       -1.1204997      -0.83098257      -0.11603753      0.046332158
              -45               15            -22.4      -0.55370826      -0.30362973      -0.86003149      -0.49004671    -0.0052095838      0.036013525
              -15               15            -22.4      -0.18208505     -0.064398855      -0.43770093      -0.16609637      -0.00289387     0.0048555811
               15               15            -22.4     -0.069952667      -0.01114938      -0.18307665     -0.043309271    -0.0012011494    0.00080303644
               45               15            -22.4     -0.029425096   -0.00060912716      -0.04014454     -0.018160241    0.00023031943    0.00010730459
               75               15            -22.4     -0.012732538   -0.00035569275      0.045208432     -0.019457946    0.00011280559   -0.00033144621
              105               15            -22.4    -0.0040129698    -0.0015676827      0.094702646      -0.01309947    0.00021279657   -0.00048388809
             -105               45            -22.4      -0.10428529        1.3343222        3.9044743        2.5976884      0.031785149      -0.49975365
              -75               45            -22.4      -0.12445468      -0.21168618       -2.7691166       -2.1189468    -0.0025454946        0.4495514
              -45               45            -22.4    -0.0053214906     -0.080194362       -1.2640505      -0.81430674     0.0031498054       0.05541423
              -15               45            -22.4     -0.015487113     -0.021699246      -0.53939718      -0.23377709     0.0038520021     0.0069430433
               15               45            -22.4     -0.030094499    -0.0088943681      -0.21602291     -0.058246493     0.0023789597    0.00075902243
               45               45            -22.4     -0.032276843    -0.0033441437     -0.052919552     -0.019261509    0.00088608084   -0.00024337022
               75               45            -22.4     -0.024980463    -0.0027265768      0.034013681     -0.016969472    0.00023354408   -0.00076263113
              105               45            -22.4    -0.0097613363      -0.00313235      0.083023869     -0.010258247   -9.5509575e-05   -0.00068490591
             -105               75            -22.4        2.4222989        2.4729557        1.6313615        1.2828083       0.86485535       0.38917542
              -75               75            -22.4        1.6132482        1.1194576       -1.0582889       -1.0614843       0.14612232       0.20710944
              -45               75            -22.4       0.53008825       0.23285344      -0.81138492      -0.56408715      0.033534557      0.040992882
              -15               75            -22.4        0.1436525      0.027526006      -0.39823282      -0.18633954      0.011622688     0.0071748029
               15               75            -22.4     0.0028882418    -0.0092774807      -0.16261217     -0.050994836     0.0059080208     0.0012113841
               45               75            -22.4     -0.042525008     -0.010544101      -0.04159347     -0.017922873     0.0045051151   -4.8682894e-05
               75               75            -22.4     -0.041474923    -0.0089433454      0.022466153     -0.014319548     0.0017323961   -0.00066205225
              105               75            -22.4     -0.017588075    -0.0070859524      0.060144335    -0.0077787172    0.00024230698    -0.0011511308
             -105              105            -22.4       0.57405919       0.50995582       0.24175799       0.12455139       0.47220087       0.30310854
              -75              105            -22.4        0.8561306       0.55198675      -0.14198637       -0.1932997       0.16104835      0.091200031
              -45              105            -22.4        0.4497956       0.18303564      -0.22627163       -0.1736978      0.076248467      0.045872919
              -15              105            -22.4       0.13365382      0.015079724      -0.13459313     -0.074358486      0.038452316      0.018908631
               15              105            -22.4     -0.022871219     -0.028994717     -0.057787959     -0.026982095      0.020722881     0.0074836425
               45              105            -22.4       -0.0733606     -0.029735848     -0.015082216     -0.013391132      0.011927675     0.0028372204
               75              105            -22.4     -0.066471778      -0.02402929     0.0081075951     -0.010672614     0.0065783188    0.00013064842
              105              105            -22.4      -0.02855555     -0.017066434      0.022684868    -0.0082813473       0.00314484    -0.0013389006
