           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
             -105             -105            -22.4    0.00045062584   -0.00034177623    0.00032872704    -0.0002895591    0.00034224812     0.0011764821
              -75             -105            -22.4    0.00068736059   -0.00046302829    0.00070234638   -0.00055289565    0.00041861241     0.0018793382
              -45             -105            -22.4    0.00099064119   -0.00055884098     0.0013231713    -0.0008488071    0.00025499161     0.0027731743
              -15             -105            -22.4      0.001185949   -0.00070684071     0.0022181156    -0.0012804784   -0.00020264179     0.0039105592
               15             -105            -22.4     0.0011154315   -0.00071592798     0.0034308839    -0.0017967041    -0.0010297721     0.0050295824
               45             -105            -22.4    0.00043639072   -0.00047974492      0.004345872    -0.0023492021     -0.001773015     0.0058468231
               75             -105            -22.4    -0.0006368215    0.00011494578     0.0044806381    -0.0027987713    -0.0017947404     0.0060120723
              105             -105            -22.4    -0.0014627494     0.0007310051     0.0034046862    -0.0020973741   -0.00074829289     0.0052367225
             -105              -75            -22.4    0.00074720092   -0.00059050909     0.0003708335   -0.00027972442    0.00041063011      0.001762887
              -75              -75            -22.4     0.0012302831   -0.00084821822    0.00087292487   -0.00058051583   -0.00019247654     0.0034447559
              -45              -75            -22.4     0.0018545075    -0.0011088189     0.0017477125    -0.0010146403    -0.0016092677     0.0052828039
              -15              -75            -22.4     0.0025991448    -0.0015133162     0.0032813519    -0.0017205174    -0.0042719268     0.0070840274
               15              -75            -22.4     0.0029213335    -0.0021917163     0.0058329776    -0.0034677191    -0.0079717971     0.0087707471
               45              -75            -22.4     0.0018235204    -0.0018440082     0.0092190681    -0.0058310628     -0.011265492      0.009515876
               75              -75            -22.4    -0.0016798833   -0.00017487802      0.010762737     -0.007515436     -0.010501337     0.0096809193
              105              -75            -22.4    -0.0044590356     0.0017122797     0.0077210362    -0.0053608459    -0.0043800422     0.0095825968
             -105              -45            -22.4      0.001055469   -0.00079187658    0.00033497147    -0.0002081001    0.00041820298     0.0022528302
              -75              -45            -22.4     0.0019008293    -0.0012059993    0.00081882917   -0.00045480547   -0.00094989146     0.0047660829
              -45              -45            -22.4     0.0031318867    -0.0018177155     0.0017858801   -0.00093202805    -0.0038748495     0.0072726454
              -15              -45            -22.4       0.00524924    -0.0031967706     0.0039393194    -0.0021367779    -0.0094548389     0.0098874057
               15              -45            -22.4     0.0086955428    -0.0066505354     0.0095191263    -0.0063710287     -0.018377835      0.011628498
               45              -45            -22.4      0.010415988     -0.010216458      0.023569403     -0.018953126     -0.027064797      0.011720787
               75              -45            -22.4    -0.0033778944   -0.00065283553      0.036839824     -0.031981878     -0.025942005      0.011422199
              105              -45            -22.4     -0.015022138     0.0086203665      0.022679195     -0.019555347     -0.012470817      0.015656963
             -105              -15            -22.4     0.0013510685   -0.00088832516    0.00018505476   -5.7336816e-05    0.00036120429     0.0025738208
              -75              -15            -22.4      0.002422743    -0.0014110245    0.00044555194   -0.00014822165    -0.0016263193     0.0054962896
              -45              -15            -22.4      0.004429942    -0.0021405728     0.0011413955    -0.0003827227    -0.0059530218      0.008561777
              -15              -15            -22.4     0.0088741528    -0.0055757007     0.0030676757    -0.0017111137     -0.014458165      0.011313928
               15              -15            -22.4      0.022687504     -0.018968947      0.011699503    -0.0088519799     -0.029796086      0.012180797
               45              -15            -22.4      0.059952822     -0.066904113      0.065080725     -0.068420663     -0.037649017    -0.0071216896
               75              -15            -22.4    -0.0037978825    -0.0018890996       0.19445881      -0.22507422      0.019549638     -0.078116886
              105              -15            -22.4     -0.066901594       0.06349875       0.05694963     -0.059803847     -0.012044145     0.0038707831
             -105               15            -22.4     0.0014159793   -0.00090243365   -4.8268939e-05    9.3051349e-05    0.00034855236     0.0026741484
              -75               15            -22.4     0.0026089384    -0.0013863358   -0.00010694283    0.00019594413    -0.0019273666     0.0056054727
              -45               15            -22.4     0.0049746372    -0.0023149312    -0.0001909807    0.00032426915    -0.0067127212     0.0087384153
              -15               15            -22.4      0.010792717    -0.0064166123   -0.00038265617    0.00037494744     -0.016558146      0.011344723
               15               15            -22.4       0.03549853     -0.030055482   -0.00067284523     0.0016282056     -0.033482928      0.010379313
               45               15            -22.4       0.17250061      -0.20239154   -0.00089588063   -0.00068289507      0.034751236      -0.11310142
               75               15            -22.4     -0.020112626       0.01372504     -0.019021131      0.014919631       0.70912135      -0.96916389
              105               15            -22.4      -0.17702004       0.19176111     0.0013059668    -0.0008554064      0.025089219     -0.041551393
             -105               45            -22.4     0.0012574933   -0.00079381786   -0.00027723741    0.00023114619    0.00034571459     0.0025224907
              -75               45            -22.4     0.0023088972    -0.0011345689    -0.0006480267    0.00046972701    -0.0015402742     0.0050819246
              -45               45            -22.4     0.0041676853     -0.001869672    -0.0014807278    0.00084718928    -0.0055132243     0.0078009246
              -15               45            -22.4     0.0083236229    -0.0046358304     -0.003607942     0.0019697987     -0.013842203      0.010163672
               15               45            -22.4      0.021653609      -0.01785206     -0.012586635     0.0094031896     -0.028386489      0.010173228
               45               45            -22.4      0.055677328     -0.059067763     -0.059092414      0.060580239      -0.03266627     -0.013116004
               75               45            -22.4     -0.015076607     0.0097819315      -0.17033513       0.19456561      0.027762799      -0.09128584
              105               45            -22.4     -0.065083489      0.060125045     -0.061114453      0.063201547     -0.012497636     0.0043739332
             -105               75            -22.4    0.00092620286    -0.0005909233   -0.00038279948    0.00030805235    0.00037190208     0.0021057285
              -75               75            -22.4     0.0016265893   -0.00089871336    -0.0009294746    0.00062728859    -0.0006645816     0.0039957999
              -45               75            -22.4     0.0027769143    -0.0011881471    -0.0020322769     0.0010149801    -0.0030786579     0.0060527413
              -15               75            -22.4     0.0046871249    -0.0021872683    -0.0042954087      0.002044701    -0.0078455517     0.0081030969
               15               75            -22.4     0.0078975363    -0.0053523378    -0.0097671775     0.0057244324     -0.016101485     0.0095578423
               45               75            -22.4      0.010029678     -0.010186133     -0.023242433      0.019194761     -0.023154067     0.0079398258
               75               75            -22.4    -0.0020130107    -0.0013407822     -0.034929901      0.027634962     -0.022805147     0.0090016155
              105               75            -22.4     -0.013193393     0.0070307078      -0.02100355      0.017288541     -0.010730712      0.014292729
             -105              105            -22.4    0.00057002704   -0.00033599333   -0.00039559323    0.00031083144    0.00039459392     0.0014823551
              -75              105            -22.4    0.00094486587   -0.00045350782   -0.00089480059    0.00057120342    0.00034327208     0.0024403951
              -45              105            -22.4     0.0015010571   -0.00062121334    -0.0017868999    0.00086881709   -9.7861084e-05     0.0038129534
              -15              105            -22.4     0.0021286171   -0.00095126941     -0.003295097     0.0014278147    -0.0012136012     0.0056162737
               15              105            -22.4     0.0025069336     -0.001434935    -0.0057414384     0.0024016374    -0.0033081821     0.0074925749
               45              105            -22.4      0.001831123    -0.0015588822     -0.008957807     0.0044775922    -0.0056042955     0.0090067387
               75              105            -22.4   -0.00095977925   -0.00023480083     -0.010353959     0.0061967792    -0.0059488048     0.0098781977
              105              105            -22.4    -0.0034962909     0.0012114138    -0.0077443332     0.0045014927    -0.0033212779     0.0099398801
