           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
             -105             -105            -22.4      0.031193081      0.016391169     -0.023931205      0.012349416      0.005035182    0.00013874951
              -75             -105            -22.4      0.076283157      0.019723726     -0.010964471      0.015350232     0.0095099993     0.0019072305
              -45             -105            -22.4      0.093920611       0.02007499      0.011862811       0.01991529      0.018304905     0.0064671626
              -15             -105            -22.4      0.058925707      0.012733534      0.061514601      0.038096078      0.037323929      0.016149374
               15             -105            -22.4      -0.09786801     -0.045435965       0.19027328       0.11299072      0.083551891      0.040058352
               45             -105            -22.4      -0.62818545      -0.35784283       0.51268047       0.33711123       0.18109562      0.074764974
               75             -105            -22.4       -2.0039759       -1.2884777       0.99382913       0.69121557       0.38191488       0.13290134
              105             -105            -22.4       -2.7084165       -1.6635182       -1.1394289      -0.66740221        1.0720729       0.90860677
             -105              -75            -22.4      0.019235989     0.0055342079     -0.064546257      0.016724551     0.0017966343   -0.00078950939
              -75              -75            -22.4      0.047619872     0.0021748575     -0.031259913      0.026139863     0.0034724614   -0.00034042657
              -45              -75            -22.4      0.058859568    -0.0023381403      0.025971632      0.031845972     0.0062207291    0.00038955628
              -15              -75            -22.4        0.0437002    -0.0069518769       0.14499941      0.067295119      0.011868306     0.0011823056
               15              -75            -22.4     -0.013624415     -0.028075079         0.437029       0.22547063      0.022516379    -0.0018745753
               45              -75            -22.4     -0.091456845     -0.098480515        1.1630653       0.78001654      0.033630893     -0.047005605
               75              -75            -22.4      -0.25924236      -0.26428989         2.767607        2.1190374      0.026219958      -0.51064318
              105              -75            -22.4      -0.37233022        1.3680369       -3.6450045       -2.6465073      0.053330362       0.61292851
             -105              -45            -22.4      0.010110106     0.0021111404      -0.08831577      0.023825005      0.001019704   -0.00028205878
              -75              -45            -22.4      0.026889639    -0.0021868278     -0.046631224      0.034929428     0.0014169327   -0.00027350592
              -45              -45            -22.4      0.042008232    -0.0054965941      0.020249017      0.036936156     0.0024194475   -0.00038670245
              -15              -45            -22.4       0.06889455   -0.00030500186        0.1461686      0.065994382     0.0025422357    -0.0012158261
               15              -45            -22.4       0.14603178      0.035376776       0.38909972       0.19375643    -0.0013356775    -0.0068896869
               45              -45            -22.4       0.45071679       0.22277987       0.83163166       0.57310009     -0.017371953     -0.040246546
               75              -45            -22.4        1.5253093        1.1095035        1.1337569        1.0828415      -0.12185457      -0.21281479
              105              -45            -22.4        1.9832749        1.9915411       -1.5675426       -1.2869369      -0.81525493      -0.37596366
             -105              -15            -22.4     0.0033285487      0.001663466     -0.098322913      0.029101059     0.0011271448   -0.00033566105
              -75              -15            -22.4      0.010689372    4.1133862e-05     -0.059340175        0.0391865    0.00050844101   -0.00072636921
              -45              -15            -22.4      0.026086729   -0.00085135415   -0.00077396794      0.037682243    0.00013347955   -0.00027201773
              -15              -15            -22.4      0.065182112     0.0061110784      0.089048468      0.048591107    -0.0012952057    -0.0010091219
               15              -15            -22.4        0.1697879      0.047201004       0.21755001       0.10398537    -0.0045847902    -0.0026502903
               45              -15            -22.4       0.41056123       0.19360383        0.3398104       0.22092983     -0.016470566    -0.0073863002
               75              -15            -22.4       0.75121623       0.49178466        0.2228118       0.23544449     -0.093591549     -0.053576972
              105              -15            -22.4       0.55267823       0.48517904      -0.25009948       -0.1683252      -0.39962444      -0.26216474
             -105               15            -22.4    -0.0028705376     0.0027152328     -0.096907072      0.030259758     0.0013252326    7.4212454e-05
              -75               15            -22.4    -0.0059274603     0.0056755454     -0.063949198      0.039546043    0.00045980865   -0.00010015249
              -45               15            -22.4     0.0010557616     0.0080826785     -0.021364478       0.03568691    0.00030446818    0.00025202282
              -15               15            -22.4      0.029078182       0.01373759      0.033255488      0.033803694   -0.00080612011    0.00013677667
               15               15            -22.4      0.091836058      0.033257078      0.093879543      0.047943812    -0.0029251149   -0.00027740627
               45               15            -22.4       0.19434254      0.087430283       0.12208914      0.069281749     -0.013039213    -0.0023815706
               75               15            -22.4       0.26211202        0.1550687      0.081512935      0.064939499     -0.051644497     -0.020546118
              105               15            -22.4       0.14306672       0.11930745      0.052543607      0.040537182       -0.1377124     -0.087645523
             -105               45            -22.4    -0.0090471236     0.0039425786     -0.084053144      0.025406318      0.001312244    0.00010237166
              -75               45            -22.4     -0.023617981      0.011814484     -0.058590855      0.034486007    0.00019933018    0.00010945182
              -45               45            -22.4     -0.029173641      0.018447034     -0.029411174      0.030676994   -0.00015903814    0.00018391194
              -15               45            -22.4      -0.01973358      0.023650952      0.002322295      0.025081247   -0.00064726564    0.00038398252
               15               45            -22.4     0.0077663753      0.031453121      0.033093721      0.024097053    -0.0024259533    0.00049409439
               45               45            -22.4      0.042972535      0.044365495      0.054457027       0.02831449    -0.0061561428    3.5757032e-05
               75               45            -22.4      0.060023919      0.056421258      0.067107752      0.033075489     -0.021817587    -0.0062475833
              105               45            -22.4      0.029511753      0.042077094       0.10727889      0.056584414     -0.052312654     -0.030089308
             -105               75            -22.4     -0.015869001     0.0035389205     -0.059051678      0.015801398    0.00090409711    0.00054085162
              -75               75            -22.4     -0.041955315      0.014510402     -0.041733019      0.024127934   -4.4619672e-05     0.0004675565
              -45               75            -22.4     -0.058869552       0.02424828     -0.024418043      0.022356063   -0.00039067387    0.00042877044
              -15               75            -22.4     -0.064258322      0.030755067    -0.0068509765      0.018246958   -0.00061089109    0.00068120839
               15               75            -22.4     -0.057565283      0.034495898      0.010784163      0.015932281    -0.0010742926    0.00090612308
               45               75            -22.4     -0.042244043      0.036318541       0.02819608      0.016907571    -0.0042443261    0.00047618058
               75               75            -22.4     -0.026413415      0.034436289      0.050854281      0.024206745    -0.0082537495    -0.0008679087
              105               75            -22.4    -0.0097191567      0.025497107      0.086514987      0.046243627     -0.020658869    -0.0089046322
             -105              105            -22.4     -0.022748586    -0.0022217301     -0.022472881     0.0063000782    6.5188884e-05     0.0010665131
              -75              105            -22.4     -0.059455175     0.0060189776     -0.015628576       0.01044902   -0.00091678847    0.00081449718
              -45              105            -22.4     -0.084739879      0.015977383    -0.0094530862      0.010559787     -0.001420845    0.00087273505
              -15              105            -22.4      -0.09903387      0.022237383    -0.0036461353     0.0097629912    -0.0016515738     0.0010053683
               15              105            -22.4      -0.10225825      0.024117295     0.0023683631     0.0097795501     -0.001606463       0.00104509
               45              105            -22.4     -0.093920484      0.022938129     0.0095852697      0.011308922    -0.0020614122     0.0011496374
               75              105            -22.4      -0.07091707      0.021199316      0.019765569       0.01610709    -0.0038290657     0.0009715592
              105              105            -22.4      -0.02855411      0.020702787      0.035145864      0.031224716    -0.0089254957    -0.0021819673
