           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
             -105             -105            -22.4     0.0016074823   -0.00072936795    0.00092087348   -0.00040250728    0.00080903451     0.0028238033
              -75             -105            -22.4     0.0027898431    -0.0013405402     0.0022568875   -0.00078498659    2.4307752e-05     0.0048122033
              -45             -105            -22.4     0.0050230236    -0.0026580419     0.0049613924    -0.0017366336    -0.0022072501     0.0077742389
              -15             -105            -22.4     0.0087545635    -0.0062716347      0.011396062    -0.0057162549    -0.0071696546      0.011940447
               15             -105            -22.4      0.011807773     -0.010083446      0.026795762      -0.01826866      -0.01442738      0.015686035
               45             -105            -22.4   -9.4883653e-05    -0.0016361835      0.040498368     -0.029437816     -0.016126465      0.015601873
               75             -105            -22.4     -0.013043219     0.0097874319      0.025560373       -0.0184664     -0.013142405      0.015428866
              105             -105            -22.4      -0.00966594     0.0059541659     0.0092996433    -0.0056838989    -0.0041481368      0.012848457
             -105              -75            -22.4     0.0024285128    -0.0010918649    0.00073226186   -0.00026491107    0.00040125762     0.0036685236
              -75              -75            -22.4     0.0045283483    -0.0023385538     0.0019232577   -0.00053276162    -0.0037594694     0.0065123122
              -45              -75            -22.4     0.0092350822    -0.0056742243     0.0047403593    -0.0016967864     -0.011775963     0.0097033335
              -15              -75            -22.4      0.023449119     -0.019324116      0.014256163    -0.0089470213     -0.026687466      0.011314257
               15              -75            -22.4      0.060672943     -0.066329472      0.064903975     -0.065212034     -0.036982376    -0.0075264624
               45              -75            -22.4    -0.0021648891     0.0016750405       0.19286083      -0.22035228      0.021888871     -0.095614508
               75              -75            -22.4     -0.063963942      0.062895298      0.065522805      -0.06536606     -0.031735241    -0.0060498291
              105              -75            -22.4     -0.024595065      0.017053427      0.011989689    -0.0090323826     -0.012675026      0.015155405
             -105              -45            -22.4      0.002894569    -0.0012428417    0.00026513796   -3.5905665e-05    0.00020597942     0.0041225934
              -75              -45            -22.4     0.0056455601    -0.0026791475    0.00061857171   -1.2050887e-05    -0.0058819205     0.0077559766
              -45              -45            -22.4      0.012111866    -0.0074396385     0.0011229009    7.7659992e-05     -0.016615357      0.011003418
              -15              -45            -22.4      0.038138226     -0.032146621    0.00099880376    0.00037248438     -0.034972213      0.010886362
