           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
             -105             -105            -22.4     0.0054412754    -0.0026479107     0.0040418515    -0.0016127565   -0.00048875826     0.0079488019
              -75             -105            -22.4     0.0093314126    -0.0060694409      0.011013536    -0.0054718591    -0.0062227151      0.011865596
              -45             -105            -22.4      0.012416855    -0.0090529583      0.026393682     -0.016845042      -0.01397396      0.015846308
              -15             -105            -22.4     0.0011463503   -0.00059344119      0.041717187     -0.030615516     -0.015968958      0.016430613
               15             -105            -22.4     -0.012260445      0.010062254      0.027728895     -0.018901667     -0.013847296      0.015370255
               45             -105            -22.4    -0.0093498277     0.0064982441      0.011724547    -0.0059618866    -0.0069722589      0.011731626
               75             -105            -22.4    -0.0052743354     0.0028919003     0.0048334966    -0.0017423732     -0.001692198     0.0077457651
              105             -105            -22.4    -0.0029566754     0.0013691176     0.0018702025   -0.00069456984    0.00089191878     0.0047497312
             -105              -75            -22.4      0.010051385    -0.0049380898     0.0035408146    -0.0014391942    -0.0042939465     0.0096488092
              -75              -75            -22.4      0.026155047      -0.02171801      0.014831202     -0.010396087     -0.023728654      0.010007781
              -45              -75            -22.4      0.063333735     -0.067514881       0.06613028     -0.066065386     -0.038607113    -0.0055016289
              -15              -75            -22.4     0.0021437039    -0.0018086978        0.1925312      -0.21840063      0.027098387      -0.10123003
               15              -75            -22.4     -0.062424537      0.067591801      0.064991616     -0.066019952     -0.034854833     -0.010530435
               45              -75            -22.4      -0.02377188      0.018581592      0.014569733    -0.0092383288     -0.026475752      0.011121934
               75              -75            -22.4    -0.0097466847     0.0053549698     0.0043884129    -0.0014965596      -0.01040003     0.0091255354
              105              -75            -22.4    -0.0047621885     0.0020617505     0.0015348785   -0.00048725301   -0.00051700714     0.0059635984
             -105              -45            -22.4      0.012832864    -0.0063104136    0.00056765741    0.00035420852    -0.0061102193      0.010560941
              -75              -45            -22.4      0.043476861     -0.037150815     0.0014424503     0.0003757354     -0.030407691     0.0081225932
              -45              -45            -22.4       0.17387362      -0.19937626     0.0085935714    -0.0062952344      0.017588111     -0.098934971
              -15              -45            -22.4      0.023258153     -0.025632195    -0.0095939077     0.0064340099       0.53683203      -0.80931532
               15              -45            -22.4      -0.16746838       0.19170263    -0.0034701936     0.0043019708     0.0070092059     -0.082969785
               45              -45            -22.4     -0.037603404      0.029491808    0.00094735576    0.00055214611     -0.034613624      0.010541608
               75              -45            -22.4     -0.012427813     0.0065826857    0.00088297465    0.00013910313     -0.014719965      0.010171206
              105              -45            -22.4    -0.0058194008     0.0023037307    0.00037184299    5.6022702e-05    -0.0012742085     0.0065345364
             -105              -15            -22.4      0.010776308    -0.0042941826    -0.0026455384     0.0016797455    -0.0050017582     0.0099355774
              -75              -15            -22.4      0.025241273     -0.018451679     -0.011694406     0.0097997487      -0.02778901      0.010044578
              -45              -15            -22.4      0.059337389     -0.058720477     -0.060447082      0.061866127     -0.046046171    -0.0041003074
              -15              -15            -22.4     -0.004730395     0.0063721202        -0.158318       0.17977984      0.020191545      -0.10257488
               15              -15            -22.4     -0.060909506      0.061893642     -0.060394891      0.061512563     -0.044468533     -0.007636826
               45              -15            -22.4     -0.024268668      0.017606273     -0.011597692     0.0096667856     -0.032125164      0.012001789
               75              -15            -22.4     -0.010420754     0.0048097293    -0.0027212186     0.0016612413     -0.013569324      0.010321548
              105              -15            -22.4    -0.0054674475     0.0019134696   -0.00076711684    0.00046506757   -0.00092200062     0.0062987208
             -105               15            -22.4      0.006961084    -0.0022533482    -0.0033032675     0.0016214707    -0.0023913623     0.0080483723
              -75               15            -22.4      0.010853577    -0.0053218985    -0.0092130788     0.0056358846     -0.017668193      0.010380717
              -45               15            -22.4      0.012398641    -0.0081619667      -0.02280716      0.016403222     -0.032158736       0.01169967
              -15               15            -22.4    0.00097879756   -0.00030221697     -0.036203913      0.027879134     -0.037102766      0.010608777
               15               15            -22.4       -0.0119753     0.0079771141     -0.023075016       0.01621837     -0.034308575      0.013512749
               45               15            -22.4      -0.01026828     0.0057468857    -0.0097624958     0.0057542841     -0.021147765      0.012350662
               75               15            -22.4    -0.0067107761     0.0025815209    -0.0037295511     0.0016397048    -0.0091141462      0.009148309
              105               15            -22.4     -0.004186078     0.0014034237    -0.0014551928     0.0006054836   -9.8103112e-05     0.0053238724
             -105               45            -22.4      0.003942241    -0.0012076333    -0.0027153939     0.0010929637   -0.00026864331     0.0058491989
              -75               45            -22.4     0.0048682075     -0.001601205    -0.0057122973     0.0022428746    -0.0084290886     0.0086019468
              -45               45            -22.4     0.0039029487    -0.0015627564    -0.0096993633     0.0043517519     -0.015241962      0.010797156
              -15               45            -22.4    0.00028857464   -0.00015639215     -0.011991186     0.0056932638     -0.018252524      0.011792756
               15               45            -22.4    -0.0032909354     0.0014223403    -0.0099982787     0.0046585011     -0.016216889      0.011970281
               45               45            -22.4      -0.00429011     0.0015155332    -0.0062006586     0.0023238268     -0.010618496      0.010196829
               75               45            -22.4    -0.0038564771     0.0013332462    -0.0032609042     0.0012697874    -0.0044492749     0.0074326559
              105               45            -22.4    -0.0028001026    0.00096310757    -0.0015627015    0.00057226419    0.00069850095      0.004118999
             -105               75            -22.4     0.0020895493    -0.0006561412    -0.0018779524    0.00068289624    0.00078943348     0.0038483462
              -75               75            -22.4       0.00229522   -0.00080836896    -0.0035377543     0.0013946135    -0.0026394932      0.005906919
              -45               75            -22.4     0.0016009121   -0.00056141906    -0.0051852423     0.0017140814     -0.005300412     0.0075041521
              -15               75            -22.4    0.00023201792   -0.00012135028    -0.0059653176     0.0019035073    -0.0064942753     0.0083992826
               15               75            -22.4    -0.0012741484    0.00034147705    -0.0054192343     0.0018157888    -0.0057441364     0.0082104169
               45               75            -22.4    -0.0019554759    0.00073102233     -0.003954933      0.001629075    -0.0036323559     0.0070221866
               75               75            -22.4    -0.0020487437    0.00069874065    -0.0024801693    0.00090074004    -0.0011934936     0.0049783406
              105               75            -22.4    -0.0015217727      0.000624582    -0.0012282421    0.00050290773     0.0010937696     0.0028446577
             -105              105            -22.4    0.00091219606   -0.00034635435    -0.0012340621    0.00046077085     0.0012973851     0.0023695966
              -75              105            -22.4    0.00093939516   -0.00033384119    -0.0021365092     0.0007594272    0.00093389046     0.0032924507
              -45              105            -22.4     0.0006759658   -0.00022407994    -0.0029817228    0.00098703126    0.00065682456     0.0040274342
              -15              105            -22.4    9.8699325e-05   -6.1248167e-05    -0.0033210344     0.0011482745    0.00058117299     0.0043142834
               15              105            -22.4   -0.00047413213     0.0001346014    -0.0030779061     0.0011043698     0.0006922796     0.0041168276
               45              105            -22.4   -0.00083899935    0.00027748672    -0.0024436729    0.00092870457     0.0008858564     0.0035221761
               75              105            -22.4    -0.0009091291     0.0003387758    -0.0016059533    0.00068411155     0.0011092963     0.0027010862
              105              105            -22.4   -0.00078787503    0.00032308983   -0.00090845412    0.00036268131     0.0012211382     0.0017929535
