           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
             -105             -105            -22.4      -0.26609528      0.081420094       0.26873788     -0.082503885     0.0017535795    0.00015632295
              -75             -105            -22.4       -0.8490898       0.24923387       0.30946571     -0.069283746      0.012432412      0.009850773
              -45             -105            -22.4       -1.4342424       0.33661982       0.24847926      -0.02385501     0.0064500156     0.0088304644
              -15             -105            -22.4       -1.7184035       0.37577555      0.020435415     -0.017756866    -0.0020133841     0.0038751774
               15             -105            -22.4       -1.4904072       0.41574758      -0.21716014     -0.013913121    -0.0081081605    -0.0080702249
               45             -105            -22.4      -0.96526456       0.39850649      -0.27390835      0.035919622    -0.0079240818     -0.010595743
               75             -105            -22.4      -0.48152912       0.27381337      -0.21924347      0.077621683     -0.011170017     -0.011359157
              105             -105            -22.4      -0.13597734      0.089206383      -0.15253425      0.078868598    -0.0039061969    -0.0033515955
             -105              -75            -22.4      -0.30965409      0.059405539       0.85361403       -0.2448341     -0.010820453     -0.010627099
              -75              -75            -22.4       -1.0722327       0.10470908        1.0619147      -0.13651004    -0.0027030951     -0.010330848
              -45              -75            -22.4       -2.0756655     -0.069408089       0.94880843      0.033430379      0.001269555     -0.020528436
              -15              -75            -22.4       -2.7594664      -0.28991252      0.030246384     -0.059591621     0.0053064879   -0.00014603372
               15              -75            -22.4       -2.1217778     0.0076339347      -0.88683426      -0.16012029     0.0073683644      0.018834744
               45              -75            -22.4       -1.1589363       0.24587275      -0.93890393      0.035552047     0.0028551812     0.0066514304
               75              -75            -22.4      -0.52808607       0.23079874      -0.67439222       0.22089489    9.8570919e-05   -0.00031827152
              105              -75            -22.4      -0.14922805      0.086763963      -0.45817927        0.2583853     0.0032095155     0.0028126882
             -105              -45            -22.4       -0.2464945     0.0062599713        1.4418507      -0.31562713    -0.0051868567     -0.019863062
              -75              -45            -22.4      -0.99453771      -0.15530625        2.1103306      0.062910005     -0.020066107     -0.061217584
              -45              -45            -22.4       -2.7008822      -0.98596877        2.6579645       0.79859954     -0.011906336      -0.13581914
              -15              -45            -22.4       -4.9471545       -2.1108878       0.03657423     -0.096697815    -0.0036361637     0.0068070418
               15              -45            -22.4       -2.7738543      -0.98257625       -2.6313996       -1.0355572       -0.0102766       0.10785843
               45              -45            -22.4       -1.0248334     -0.044039704         -1.88291      -0.21923706     0.0071551735      0.032856945
