           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
             -105             -105            -22.4      0.035654403      0.030399328     -0.025100695      0.021835692     0.0099071926     0.0031264573
              -75             -105            -22.4      0.085706465      0.042449944    -0.0060614333      0.026753576      0.021564689     0.0095762555
              -45             -105            -22.4       0.10054395      0.046381738      0.033622917      0.045424975      0.053227276      0.028151533
              -15             -105            -22.4      0.044175915      0.016910385       0.14564182       0.12006867       0.14685504      0.078651406
               15             -105            -22.4      -0.24927118      -0.20903715       0.53909487       0.45017216       0.42847022       0.20148385
               45             -105            -22.4       -1.5035526       -1.1130511        2.3583379        1.9476993       0.91137058      -0.13152242
               75             -105            -22.4       -3.8351238      -0.99673486      -0.11260454     -0.071058638     -0.044289883     0.0023917109
              105             -105            -22.4       -1.2065606      -0.91343045       -2.5003998       -2.0662856       -1.0965841     -0.040977582
             -105              -75            -22.4      0.020175735      0.015407404     -0.065771878       0.02377791     0.0044332636   -0.00044403604
              -75              -75            -22.4      0.049354825      0.020850908     -0.018907698      0.039063502     0.0098133255     0.0011222153
              -45              -75            -22.4      0.063070938      0.025445875      0.071195841      0.065545179      0.020970114     0.0038584848
              -15              -75            -22.4      0.074187741      0.043960087       0.27364898       0.17313652      0.050793152     0.0085963728
               15              -75            -22.4       0.20969467       0.16368021       0.78868037       0.56334555       0.10241544    -0.0058845552
               45              -75            -22.4        1.1322598       0.99877942        1.4910847        1.2837981       0.15901196     -0.088792212
               75              -75            -22.4        2.6677818        2.6710773      -0.15373701     -0.065677129     -0.011325428      0.027275244
              105              -75            -22.4       0.89822507       0.82038522       -2.0240121       -1.7325031      -0.29380697      0.062380332
             -105              -45            -22.4      0.010054194      0.010549711     -0.087570019      0.026772887      0.002518259   -0.00067800377
              -75              -45            -22.4      0.028496496      0.015144021     -0.032821413      0.042324081     0.0042583961   -0.00050097192
              -45              -45            -22.4      0.054151598      0.024928743      0.056095939      0.056451362     0.0088171316   -0.00049833773
              -15              -45            -22.4       0.12676297      0.066232063       0.20987944       0.11086887      0.014787727    -0.0012685058
               15              -45            -22.4       0.33451834       0.20822491       0.42209631       0.24589908      0.016433008     -0.010453293
               45              -45            -22.4       0.83546603       0.60958564       0.46251786       0.33810195       0.01000266     -0.018158179
               75              -45            -22.4        1.1565818       0.92253226      -0.12699269     -0.064644985     -0.039503306     -0.016170455
              105              -45            -22.4       0.49950615       0.41430044      -0.66188127      -0.50507963      -0.15464734      -0.05965865
             -105              -15            -22.4     0.0035184503     0.0092398245     -0.096214741      0.027923435     0.0019470963   -0.00087032304
              -75              -15            -22.4      0.013135099      0.015376137     -0.049536865      0.039632857     0.0015519777    -0.0012373626
              -45              -15            -22.4      0.037899151      0.024796981      0.017409718      0.041021127     0.0016655955    -0.0010037505
              -15              -15            -22.4      0.099450834      0.050674699       0.10370942      0.051810388     0.0025082813    -0.0016370333
               15              -15            -22.4       0.22813097       0.11737797       0.17568554      0.075185314     0.0030253706    -0.0021061692
               45              -15            -22.4       0.40192711       0.23057666       0.13995424      0.062927134    -0.0028595007    -0.0014424762
