           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
             -105             -105            -22.4     0.0005555668   -0.00037957323    0.00053442793   -0.00035598033    0.00075547269     0.0012190478
              -75             -105            -22.4    0.00072722934   -0.00045464584      0.001017367   -0.00067374465     0.0008457537      0.001939692
              -45             -105            -22.4     0.0008404057   -0.00044189324     0.0016812948   -0.00097706669      0.000767519     0.0026992033
              -15             -105            -22.4    0.00071392459   -0.00036875889     0.0023506051    -0.0013143098    0.00058132119     0.0034602222
               15             -105            -22.4    0.00031546436   -0.00014005575     0.0029593897    -0.0014984006    0.00029657592     0.0039605005
               45             -105            -22.4   -0.00029393609    0.00015714383      0.002949022    -0.0014866889    0.00018128738     0.0040347017
               75             -105            -22.4   -0.00079491315    0.00042245779     0.0024237293    -0.0013134144    0.00037310197     0.0036195766
              105             -105            -22.4   -0.00095095253    0.00053871784     0.0015665606   -0.00083588902    0.00080522255     0.0027107785
             -105              -75            -22.4     0.0010385861   -0.00069676084     0.0006963436    -0.0003971738    0.00083881535     0.0019430738
              -75              -75            -22.4     0.0014609682   -0.00089977839     0.0014577564   -0.00082731846   -0.00017331963     0.0038972034
              -45              -75            -22.4     0.0017215486    -0.0009609618     0.0025375837    -0.0013649852    -0.0016551486     0.0058149719
              -15              -75            -22.4     0.0016782864   -0.00083519373     0.0039325478    -0.0019688804    -0.0036387593     0.0073438627
               15              -75            -22.4      0.000835357   -0.00049450505     0.0051769288    -0.0027263875    -0.0052765966     0.0083146067
               45              -75            -22.4   -0.00063293352    0.00027849822     0.0055339187    -0.0027267877     -0.005602194     0.0079793176
               75              -75            -22.4    -0.0020001887    0.00086186163     0.0045006005    -0.0023414898     -0.003646937     0.0066725053
              105              -75            -22.4    -0.0023163992     0.0010359206     0.0027131508    -0.0014193619   -9.2807459e-06     0.0047408212
             -105              -45            -22.4     0.0016262087    -0.0010116982     0.0007718142   -0.00037831638    0.00080255151     0.0027384735
              -75              -45            -22.4      0.002543475    -0.0014488773     0.0017393717    -0.0008424847    -0.0016774244     0.0058647143
              -45              -45            -22.4      0.003420782    -0.0018913621     0.0034134428    -0.0017168433    -0.0053697331     0.0087040402
              -15              -45            -22.4     0.0039773346    -0.0022050815     0.0062433211    -0.0032989427     -0.010391632      0.011210168
               15              -45            -22.4     0.0028760496    -0.0018073102      0.010126821    -0.0057646455     -0.015322527      0.012255589
               45              -45            -22.4    -0.0010361451    0.00028343094      0.012020566    -0.0071603758     -0.016284876      0.011815419
               75              -45            -22.4    -0.0047262255     0.0021522527     0.0090989172    -0.0056121103     -0.011387125      0.010036645
              105              -45            -22.4    -0.0050802315     0.0021807735       0.00488282    -0.0028575454     -0.002354356     0.0077608763
             -105              -15            -22.4     0.0023783825    -0.0012316138    0.00066685909   -0.00021659388    0.00056098029     0.0034682648
              -75              -15            -22.4     0.0039220871    -0.0019891812     0.0015840407   -0.00062902691    -0.0036472701     0.0072849765
              -45              -15            -22.4     0.0062391255    -0.0031788244     0.0039063497     -0.001712716      -0.01049058      0.011014822
              -15              -15            -22.4      0.010001951    -0.0065627634     0.0095885107    -0.0061295973     -0.020816799      0.013763308
               15              -15            -22.4      0.011917412    -0.0094520589      0.024170605     -0.018622547     -0.032557897      0.014253529
               45              -15            -22.4     -0.001540554   -0.00028736092      0.036996741     -0.031160569     -0.033977933      0.011097314
               75              -15            -22.4      -0.01452933     0.0097308829       0.02307784     -0.018641198      -0.02715859      0.012637078
              105              -15            -22.4     -0.011544663     0.0065019326     0.0083417436    -0.0058904635    -0.0071009658      0.011452493
             -105               15            -22.4      0.002858456    -0.0013846622    0.00027824266   -1.4606834e-05    0.00033031686     0.0039595724
              -75               15            -22.4     0.0051500024    -0.0024896725    0.00079292804   -0.00018617579    -0.0053998185     0.0079334462
              -45               15            -22.4      0.010110924    -0.0056232736     0.0027395657    -0.0012687081     -0.015311112      0.011884617
              -15               15            -22.4      0.024330709     -0.018880051      0.011449485    -0.0089614037     -0.032642029      0.013783941
               15               15            -22.4      0.060253587     -0.064065434      0.059486154     -0.062039811     -0.039199509     -0.010064566
               45               15            -22.4    -0.0034141084     0.0026904223       0.17580023      -0.20606299     0.0072287256     -0.085999414
               75               15            -22.4     -0.064943545      0.064321868       0.06189657     -0.065088093     -0.040434048    -0.0012938096
              105               15            -22.4     -0.025870711      0.017452849      0.010245628    -0.0081958082     -0.013644958      0.014648601
             -105               45            -22.4     0.0028772382    -0.0013400292   -0.00030667189    0.00023605322     0.0001975643     0.0040573319
              -75               45            -22.4     0.0054382244    -0.0024387124   -0.00064493134    0.00046740717    -0.0056138211     0.0076959524
              -45               45            -22.4       0.01161691        -0.006507    -0.0012236258    0.00055041432     -0.016143076        0.0112611
              -15               45            -22.4      0.036479149     -0.029260082    -0.0019032983    0.00032037729     -0.035188712      0.011680115
               15               45            -22.4       0.18653026      -0.21833767    -0.0037553539   -0.00054673833       0.01411807     -0.093996599
               45               45            -22.4      0.059934266     -0.064422779     0.0079186782     -0.014078412       0.57818472      -0.83906209
               75               45            -22.4      -0.17052798       0.19423507     -0.010312317     0.0089237038      0.021080269     -0.089909032
              105               45            -22.4     -0.040586628       0.02952843   -0.00079610769    6.1694554e-05       -0.0158558      0.015891081
             -105               75            -22.4     0.0023131771    -0.0010802095   -0.00074598356    0.00043761189    0.00038075141     0.0036048805
              -75               75            -22.4     0.0043340581    -0.0021827116    -0.0019247816    0.00089174719     -0.003615452     0.0065100165
              -45               75            -22.4     0.0087731229    -0.0046860636    -0.0046726246     0.0019955884     -0.011435192     0.0095778275
              -15               75            -22.4       0.02230671     -0.016792348     -0.014012788     0.0089723254     -0.026128955      0.010824717
               15               75            -22.4      0.063168436     -0.066958509      -0.06539426      0.065708563     -0.035148945     -0.011197859
