           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
             -105             -105            -22.4      0.033785604     -0.029130381      0.001950257     0.0011041401     -0.011727436      0.019051891
              -75             -105            -22.4       0.19603319      -0.22686729      0.015649214    0.00088547636      0.058076967     -0.061048087
              -45             -105            -22.4       0.05575721     -0.059133697     -0.054591335      0.085853852       0.73959529        -0.898072
              -15             -105            -22.4       -0.1766367       0.20756949     0.0032442415      0.015162783      0.050698489     -0.055435978
               15             -105            -22.4     -0.033045884      0.030383788     0.0026691006     0.0024864043     -0.011339441      0.016530322
               45             -105            -22.4    -0.0083396994     0.0071153673    0.00075374596    0.00030149223    -0.0058027147     0.0087869437
               75             -105            -22.4    -0.0026547003     0.0023072513    0.00011377152   -0.00022003951    -0.0025882316     0.0044321953
              105             -105            -22.4     -0.001069756     0.0010037622   -6.3878098e-05   -0.00027250347    -0.0015788312     0.0023602592
             -105              -75            -22.4      0.019775819     -0.019149667    -0.0086494423      0.010237313     -0.011960357      0.014438334
              -75              -75            -22.4      0.056181785      -0.06328804     -0.051472783      0.066729389     -0.012359199    -0.0031170642
              -45              -75            -22.4       0.00269263    -0.0052843271      -0.17250603       0.21805277      0.050411604     -0.090452321
              -15              -75            -22.4     -0.058608513      0.066120245     -0.051520515      0.065925039     -0.013751811    -0.0037137726
               15              -75            -22.4     -0.019087721      0.020718459    -0.0084704375      0.012418516     -0.012970472      0.011327796
               45              -75            -22.4    -0.0059678154     0.0064244983    -0.0016126803     0.0024543973    -0.0055802129     0.0080696624
               75              -75            -22.4    -0.0020444179     0.0025555324   -0.00055067835    0.00049046188     -0.002197677     0.0049763843
              105              -75            -22.4    -0.0007672857     0.0012234927   -0.00028430324    1.4331405e-05    -0.0014222155     0.0027971936
             -105              -45            -22.4     0.0069399215    -0.0062546232    -0.0062664398     0.0069250353    -0.0081960456      0.010314105
              -75              -45            -22.4     0.0098571647    -0.0098429443     -0.018354768      0.021728791      -0.01559436     0.0097264107
              -45              -45            -22.4    8.8935049e-05    0.00053892913     -0.032196499       0.03605511     -0.017740766     0.0082055312
              -15              -45            -22.4    -0.0096955411     0.0099330693     -0.018112356      0.021096917     -0.015707135     0.0090144183
               15              -45            -22.4    -0.0066770548     0.0070273592    -0.0059677754     0.0073840981    -0.0089411335     0.0084465295
               45              -45            -22.4    -0.0029592153     0.0033380468    -0.0018683126     0.0023455804    -0.0037704417     0.0064044213
               75              -45            -22.4     -0.001156136     0.0018195655   -0.00069486484    0.00078397227    -0.0014941129     0.0044371998
              105              -45            -22.4   -0.00044538974     0.0010379152   -0.00033643865    0.00023991014    -0.0012358062     0.0025823489
             -105              -15            -22.4     0.0021542073    -0.0019446545    -0.0029711481     0.0030320417    -0.0042382041     0.0066712154
              -75              -15            -22.4      0.001984457    -0.0018228731    -0.0055131852     0.0063699652     -0.007009326     0.0072260834
              -45              -15            -22.4    2.0815787e-06   -4.4536282e-05     -0.007084595     0.0073826588    -0.0086122779     0.0075476463
              -15              -15            -22.4    -0.0020661289     0.0020105529    -0.0055208518     0.0061141099    -0.0071884729     0.0072026527
               15              -15            -22.4    -0.0020565586     0.0020974251    -0.0029005082     0.0032490615    -0.0042938939     0.0062675183
               45              -15            -22.4    -0.0012086303     0.0015758995    -0.0012751842     0.0016046963     -0.001861898     0.0050417585
               75              -15            -22.4   -0.00050225476     0.0011141506   -0.00055378559    0.00072016387   -0.00076179398     0.0036448101
              105              -15            -22.4   -0.00016075748    0.00075119029   -0.00027370272    0.00028634869   -0.00098934118     0.0021802485
             -105               15            -22.4     0.0006524449   -0.00082681538    -0.0013462449     0.0014459321    -0.0021129944     0.0041711573
              -75               15            -22.4    0.00044698577   -0.00055212644    -0.0019564927     0.0022669763    -0.0027399531     0.0051029613
              -45               15            -22.4   -6.1255916e-05   -4.7794681e-05    -0.0023057708     0.0024880616    -0.0029983746     0.0054004123
              -15               15            -22.4   -0.00057540275     0.0005416057     -0.001997353     0.0022116567     -0.002441457      0.005180581
               15               15            -22.4    -0.0006607066     0.0007174944    -0.0012747275     0.0014809573    -0.0013812295     0.0046553388
               45               15            -22.4   -0.00041748252    0.00078864797   -0.00066831976    0.00098563172    -0.0004804309     0.0038213418
               75               15            -22.4   -0.00011156564    0.00067808671   -0.00031882146    0.00053679163   -0.00023457251     0.0028242283
              105               15            -22.4    2.8721879e-05     0.0005349564   -0.00017014255    0.00026878976   -0.00077318592     0.0017185872
             -105               45            -22.4    0.00013197779    -0.0004729084   -0.00057912001     0.0007811744    -0.0011680369     0.0026102976
              -75               45            -22.4    1.8631637e-05   -0.00030165291   -0.00071489625     0.0010491908   -0.00090244482     0.0035107078
              -45               45            -22.4   -0.00010422542   -4.5643101e-05    -0.0007978169     0.0011751773   -0.00075743988      0.003795174
              -15               45            -22.4   -0.00021197597    0.00020026421   -0.00067704415     0.0010779595   -0.00046419608     0.0037035174
               15               45            -22.4   -0.00020152246    0.00035816251   -0.00044073898    0.00087847351   -6.3327061e-05     0.0033774239
               45               45            -22.4   -8.9050955e-05    0.00039833464   -0.00021945982    0.00059084938    0.00013486903     0.0028233856
               75               45            -22.4    7.3786076e-05    0.00042728757   -8.5587846e-05    0.00040516231    1.6692667e-05     0.0021906665
              105               45            -22.4    0.00012363819    0.00037394333   -5.6875091e-05    0.00021989582   -0.00064675324      0.001321985
             -105               75            -22.4   -2.9567411e-05   -0.00029670901   -0.00021154198    0.00044852408   -0.00079526193     0.0016789043
              -75               75            -22.4   -8.2200015e-05   -0.00021073304   -0.00016691827    0.00065764145   -0.00039931649     0.0023804756
              -45               75            -22.4   -9.4517003e-05   -5.3014759e-05   -0.00014330569    0.00066100497   -0.00020605135     0.0025998584
              -15               75            -22.4   -8.9923502e-05    8.0335412e-05   -8.3799161e-05    0.00061616692   -5.2624771e-05      0.002576268
               15               75            -22.4    -5.200092e-05     0.0001786404     7.079334e-06    0.00053851324    7.0220012e-05     0.0023857399
               45               75            -22.4    3.3986587e-05    0.00025190067    8.3857529e-05    0.00047302528    9.6653755e-05     0.0020689736
               75               75            -22.4    0.00011055412    0.00025911262     8.307409e-05    0.00029198278   -0.00010296841     0.0016244206
              105               75            -22.4    0.00011199568    0.00024758477    2.7220991e-05    0.00017985306   -0.00057118328     0.0010095935
             -105              105            -22.4   -4.6622539e-05   -0.00016027057   -5.8613838e-05    0.00028422257   -0.00075072952     0.0010715992
              -75              105            -22.4   -7.0580056e-05   -0.00010892216    1.7863396e-05    0.00038575107    -0.0006830077     0.0014337742
              -45              105            -22.4   -6.3638596e-05   -3.0823896e-05    7.4056486e-05    0.00042445754   -0.00068638899     0.0015646981
              -15              105            -22.4    -4.213956e-05    3.8710761e-05    0.00011103017    0.00041925054   -0.00067005359     0.0015519388
               15              105            -22.4   -1.0593028e-05    9.3510331e-05    0.00014792892     0.0003775584   -0.00062473147     0.0014409372
               45              105            -22.4    3.0319337e-05    0.00012618024    0.00015244083    0.00030477089   -0.00058873266     0.0012643469
               75              105            -22.4    7.0460213e-05    0.00014431331    0.00011923195    0.00022489803   -0.00057587947      0.001047648
              105              105            -22.4    7.7126948e-05     0.0001415127    6.0790284e-05    0.00012710004   -0.00063137128    0.00071886787
