           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
             -105             -105            -22.4      0.025442185      0.006187371     -0.022710113     0.0052572684    0.00054702343   -0.00067375554
              -75             -105            -22.4      0.065327376     0.0046682367     -0.014927278     0.0081304498     0.0020199458   -0.00060877058
              -45             -105            -22.4      0.090080813     0.0023681966    -0.0066199563     0.0081198113     0.0029043145   -0.00044295969
              -15             -105            -22.4      0.099351138     0.0031387764     0.0013869873     0.0083860457     0.0033521568   -0.00057121471
               15             -105            -22.4      0.093919091     0.0057107708      0.008918589      0.011072398     0.0044180383    0.00016810613
               45             -105            -22.4      0.076732807     0.0042207092      0.014302782      0.016836066     0.0057671145    0.00037277056
               75             -105            -22.4      0.053817958     -0.003976522      0.020419728      0.027421448       0.01032599     0.0020432421
              105             -105            -22.4      0.021758452     -0.018688418      0.039006017      0.049958885      0.022398232      0.010825206
             -105              -75            -22.4      0.016961168     0.0002445729     -0.061680481     0.0091404896   -0.00071306335   -0.00054255198
              -75              -75            -22.4      0.043219518    -0.0041465652     -0.040192846      0.015748562    0.00038077965   -0.00051177747
              -45              -75            -22.4      0.055861142    -0.0073342351     -0.015694266      0.013333153    0.00093380932   -0.00048911362
              -15              -75            -22.4      0.049248714    -0.0071700555      0.011436713      0.011660516     0.0015631989   -0.00061026792
               15              -75            -22.4      0.020347092    -0.0086440248      0.036035046      0.017889831     0.0031472568   -0.00074002979
               45              -75            -22.4     -0.021729849     -0.017642841      0.049332067      0.034248181     0.0071737142   -0.00023231009
               75              -75            -22.4     -0.045923967     -0.031856135      0.051214043      0.054848801      0.021362547     0.0059565129
              105              -75            -22.4     -0.022442713     -0.030820647       0.08085344      0.090428747      0.050699577      0.028791266
             -105              -45            -22.4     0.0088063423   -0.00088640506     -0.086085685      0.013565745    -0.0010632315    7.6383796e-05
              -75              -45            -22.4      0.020519445    -0.0034508423     -0.053312443      0.020901008   -0.00015215611   -9.6566378e-05
              -45              -45            -22.4      0.017961659    -0.0045091948     -0.010006803      0.015485735    0.00060269865   -0.00030544013
              -15              -45            -22.4     -0.012717146    -0.0060255169      0.044972483      0.015363302    0.00096962927   -0.00078599813
               15              -45            -22.4     -0.081704602     -0.017941171       0.10334571      0.034023698      0.003444972   -0.00069014478
               45              -45            -22.4       -0.1939829     -0.058668002       0.12828293      0.069304302      0.014341264     0.0012907928
               75              -45            -22.4      -0.27105299      -0.11401393      0.074941911      0.091840677      0.050567038      0.018892048
              105              -45            -22.4      -0.14760618     -0.091597676      0.035656109       0.11088096       0.14252537      0.093936853
             -105              -15            -22.4     0.0018621085    -0.0010336842     -0.096142516      0.014920272   -0.00068801723    4.3028511e-05
              -75              -15            -22.4     0.0014474099   -0.00094871066     -0.053506061      0.021350322   -0.00022188736   -0.00030716369
              -45              -15            -22.4     -0.013883498   -0.00091711793      0.012473064      0.016575187    0.00046911734   -0.00018600497
              -15              -15            -22.4     -0.061309956    -0.0068257218       0.10961364      0.025658078    0.00055409997   -0.00046780909
               15              -15            -22.4      -0.18145151     -0.043180604       0.24271123       0.07949923     0.0042005377    -0.0014071347
               45              -15            -22.4      -0.44326487      -0.17245555       0.34844482       0.18040185      0.021196656    -0.0052201236
               75              -15            -22.4      -0.81265259      -0.42151427       0.22789301       0.22987981      0.099285983      0.037728019
              105              -15            -22.4       -0.6458354      -0.41466928      -0.29268306    -0.0069067166       0.39047521       0.28862733
             -105               15            -22.4     -0.004073787     -0.001527809     -0.094916716      0.013584852   -0.00024151398    0.00056474924
              -75               15            -22.4     -0.012992152   -0.00027447619     -0.044883624       0.01954625   -0.00017781486    0.00031634554
              -45               15            -22.4     -0.029087212   -0.00042106147      0.039993044      0.018096957    0.00039681388    0.00023282487
              -15               15            -22.4     -0.067865908    -0.0093406215       0.18382919      0.043833952    0.00094237807    5.6779598e-05
               15               15            -22.4      -0.17823465     -0.060190063       0.44028786       0.16521846     0.0087825293    -0.0021089565
               45               15            -22.4      -0.55320323      -0.30462003       0.88018668       0.50074387      0.013163496     -0.026215702
               75               15            -22.4       -1.6095996       -1.0453055        1.1448283       0.84741515       0.16401562   -9.9411001e-05
              105               15            -22.4       -2.4525104       -1.4592884       -1.5903243      -0.77464807       0.84424418       0.73729718
             -105               45            -22.4    -0.0097498894     -0.003162662     -0.083279833      0.010439522    0.00012378531    0.00087510818
              -75               45            -22.4      -0.02511099    -0.0025963914     -0.033974513      0.017065767   -0.00041365143    0.00059514761
              -45               45            -22.4       -0.0325552    -0.0031474747      0.051521569      0.018737709    -0.0008676314    0.00047779953
              -15               45            -22.4     -0.029297013    -0.0082304683       0.21331412      0.057809994     -0.002290797    -0.0006109766
               15               45            -22.4      -0.01683761     -0.023560096        0.5447762       0.23436442    -0.0041970606    -0.0074107344
               45               45            -22.4    -0.0043452904     -0.077523723        1.2617062       0.80676645      0.002825022     -0.051780183
               75               45            -22.4      -0.12272523      -0.22065721        2.7769248        2.1247129     -0.071977004      -0.50411332
              105               45            -22.4     -0.014992249        1.4064004       -3.3916306       -2.2233729      0.042218689       0.35039926
             -105               75            -22.4     -0.017673476    -0.0070350207     -0.060034014     0.0078990981   -0.00040583187     0.0014121761
              -75               75            -22.4     -0.041639306    -0.0086791664     -0.022429736      0.014360717    -0.0020776778    0.00069913053
              -45               75            -22.4     -0.041890565      -0.01082727      0.041268535      0.017978894     -0.003556039    0.00014789467
              -15               75            -22.4     0.0031569721    -0.0090722162       0.16240503      0.051244326    -0.0064395503    -0.0013991195
               15               75            -22.4       0.14014283      0.023391495       0.40164864       0.18661796     -0.012185282    -0.0088017872
               45               75            -22.4       0.52927136       0.22895326       0.82112807       0.56601161     -0.050708845     -0.054323923
               75               75            -22.4        1.5567434        1.0359124        1.1326139        1.1482253      -0.15545335       -0.2313019
              105               75            -22.4        2.0357306         1.992101        -1.604471       -1.2140734      -0.86318785      -0.43116727
             -105              105            -22.4     -0.028536627     -0.016864242     -0.023035102     0.0081205498    -0.0030049419     0.0016996866
              -75              105            -22.4     -0.066251487     -0.024022995    -0.0082526747      0.010765496    -0.0063484549   -0.00020974496
              -45              105            -22.4     -0.073240288     -0.029583247      0.015212495       0.01331431     -0.011690783    -0.0029855089
              -15              105            -22.4     -0.022612218     -0.028708305      0.057463102      0.027013581     -0.021423927    -0.0079787597
               15              105            -22.4       0.13186225      0.014687199       0.13037764      0.071311042     -0.036615707     -0.016977787
               45              105            -22.4       0.45209816       0.18675044       0.22238787       0.17025462     -0.076930985     -0.045104295
               75              105            -22.4       0.85840935       0.54868168       0.15359902       0.20370102       -0.1696257     -0.097359113
