           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
             -105             -105            -22.4       -1.0947638      -0.42724001       0.89866549       0.24938247      -0.10986642      -0.10025948
              -75             -105            -22.4       -2.5261059      -0.80928385       0.27532017     -0.022548579     -0.027725769      -0.01367754
              -45             -105            -22.4       -2.2055848      -0.45454109      -0.42125285      -0.26128927      -0.04988711     -0.012925211
              -15             -105            -22.4       -1.2253536      0.013804212      -0.44950736      -0.16748643      -0.04169675     -0.016202381
               15             -105            -22.4      -0.54765689       0.17644976      -0.27333263     -0.050310992     -0.030393858     -0.019010833
               45             -105            -22.4      -0.20621563       0.16492566      -0.14029981     0.0040682126     -0.017638333     -0.010951206
               75             -105            -22.4     -0.049430493       0.10418485     -0.060155053      0.016985416    -0.0099812942    -0.0057451404
              105             -105            -22.4    7.3104049e-05      0.039957382      -0.01969656      0.012834333    -0.0043213307    -0.0014468863
             -105              -75            -22.4       -1.8060557       -1.0021123        3.6534467         1.416504      -0.18428725      -0.28835347
              -75              -75            -22.4       -4.6544976       -2.2785823       0.74700034     -0.053383529      -0.16779324      -0.11563934
              -45              -75            -22.4       -2.7991862       -1.1004004       -2.0065331       -1.2123652     0.0016769888       0.11977933
              -15              -75            -22.4       -1.0897548     -0.095899008       -1.4338932      -0.57322174     -0.016656877      0.023498109
               15              -75            -22.4      -0.45879063        0.1373314      -0.76920718      -0.11727797    -0.0078262677     0.0032463244
               45              -75            -22.4      -0.17611559       0.13930948      -0.36985505      0.038804229    -0.0012783834    0.00040964637
               75              -75            -22.4     -0.052321471      0.089601859      -0.15615612      0.072823755    -0.0023795594     -0.000310904
              105              -75            -22.4    -0.0080345552      0.033194628     -0.049336504      0.065685987   -0.00086519483    0.00091173715
             -105              -45            -22.4      -0.20555912      -0.21874589         6.398881        3.2145309     -0.085140042      -0.67512774
              -75              -45            -22.4      -0.31984234        1.0016814       0.89899492      -0.15081093     -0.011438042      0.020239852
              -45              -45            -22.4      -0.22249949     -0.070041575       -4.0791631       -2.8439729      0.025803309       0.47714478
              -15              -45            -22.4      -0.15786453      0.029467486        -2.094542      -0.95915639     0.0054191053      0.077759154
               15              -45            -22.4      -0.08229167      0.099361338       -1.0142305      -0.16601047     0.0025603157     0.0092546884
               45              -45            -22.4     -0.035817116      0.084137321      -0.48416287      0.069747597    -0.0014203961       0.00131417
               75              -45            -22.4    -0.0097639896      0.053112306      -0.20614123       0.11694866   -0.00094927225    0.00069209281
              105              -45            -22.4    0.00049854419      0.019853968     -0.067385361       0.10678148   -0.00033522493    0.00047934224
             -105              -15            -22.4        1.5797232        1.0745423        3.8157709        1.8134031       0.14449371      -0.11406679
              -75              -15            -22.4        4.0718918        3.0861692       0.93606776     -0.049639184     -0.025988413     -0.058540873
              -45              -15            -22.4        2.3327799        1.3515981       -2.0473523       -1.6957977     -0.035506636       0.15270685
              -15              -15            -22.4       0.79169017       0.28616777       -1.5389165      -0.68842155      0.010367836      0.042783488
               15              -15            -22.4       0.27784798      0.060077384      -0.88410002      -0.11308447     0.0031362982     0.0074428003
               45              -15            -22.4       0.10421557      0.015482736      -0.45398822      0.092810377     -0.001402781     0.0018736394
               75              -15            -22.4      0.037800465      0.008144144      -0.19436561        0.1332299   -0.00014390144    4.5462981e-05
              105              -15            -22.4      0.010418949     0.0046125967     -0.060683314       0.12213723     -0.001266017    0.00043177427
             -105               15            -22.4       0.83872503        0.4648813         1.501374       0.29369503       0.12694137      0.065649599
              -75               15            -22.4        1.8714695       0.95516086       0.57949734      -0.14917472      0.018422132     -0.003915986
              -45               15            -22.4        1.5831376       0.59846377      -0.52990556      -0.49553701    -0.0090459744     0.0083788633
              -15               15            -22.4       0.85582381       0.14545749      -0.77352101      -0.28258911     0.0088968379      0.012694054
               15               15            -22.4       0.38684922     -0.023826255      -0.56615311     -0.022205148   -4.0854411e-05     0.0041682739
               45               15            -22.4       0.16514102     -0.046101205      -0.32365519      0.099352427     0.0010269487   -0.00041970453
               75               15            -22.4      0.060639307     -0.029817978      -0.14019005        0.1229344   -0.00033235369    5.3491807e-05
              105               15            -22.4      0.015588909    -0.0082915481     -0.036303524       0.11166286    -0.0014687615   -0.00075889291
             -105               45            -22.4        0.3496528       0.11609774       0.54231071     -0.094805442      0.063822947      0.043149989
              -75               45            -22.4        0.8208378       0.19500615       0.27659091      -0.16576988      0.018038211     0.0073711989
              -45               45            -22.4       0.83471078      0.091022857      -0.13470981       -0.1861205     0.0061105285     0.0034008662
              -15               45            -22.4       0.56316483     -0.046395838       -0.3198798     -0.088444255     0.0023189508     0.0025508683
               15               45            -22.4       0.30597749     -0.099554315      -0.29004207      0.023684818     0.0011344423    0.00064216967
               45               45            -22.4       0.13908483     -0.086838014      -0.18194871      0.081729017    0.00056970026   -0.00076926628
               75               45            -22.4      0.052139238     -0.052789725     -0.077788934      0.092900768   -0.00054427743   -2.4657245e-05
              105               45            -22.4      0.012939259     -0.016044319    -0.0085425461      0.083286427    -0.0017509039    -0.0014345328
             -105               75            -22.4       0.14317526      0.013941407       0.17224917      -0.11255912       0.02870254      0.017079171
              -75               75            -22.4       0.35488337     -0.021476839        0.1059044      -0.11533152      0.013372206     0.0042082528
              -45               75            -22.4       0.39126319     -0.081838183      -0.03311909     -0.085658543     0.0029837701    0.00067832513
              -15               75            -22.4       0.29948613      -0.12652527       -0.1210049     -0.030683197     0.0010603927    7.6381257e-05
               15               75            -22.4       0.17352299      -0.13121462      -0.12620717      0.021385007    5.0899427e-05    0.00062079559
               45               75            -22.4      0.076340549      -0.10207821     -0.083549127      0.049161259     0.0011671546   -0.00027230484
               75               75            -22.4        0.0236069     -0.058935583      -0.03286355      0.053092357   -0.00011348345   -0.00038890354
              105               75            -22.4      0.003710239     -0.019031659     0.0076838764      0.046805315    -0.0013732669    -0.0014351761
             -105              105            -22.4      0.056016989    -0.0017889392      0.027064908     -0.052583452      0.012600276     0.0058153979
              -75              105            -22.4       0.14400095     -0.058884583      0.022960747       -0.0449517     0.0048055826    -0.0001792562
              -45              105            -22.4       0.17475533      -0.11153097    -0.0074830605     -0.030817127     0.0020171222    -0.0003135791
              -15              105            -22.4       0.13814904      -0.13475448     -0.030892568     -0.011935474     0.0023522112   -6.4141961e-05
               15              105            -22.4      0.073757879      -0.12585908     -0.034060415     0.0041206693     0.0020523069    0.00080922927
               45              105            -22.4      0.019299738     -0.094438136     -0.023728944      0.012812022     0.0020445397     0.0010528057
