           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
             -105             -105            -22.4    -0.0021482736   -0.00045321282     -0.015796699     -0.038940001    -0.0070824954    -0.0023820929
              -75             -105            -22.4    0.00053808233      0.033220142    -0.0070080082     -0.027213808    -0.0023213092    0.00081458502
              -45             -105            -22.4     0.0070530004      0.056223892    -0.0090417443     -0.015954144    -0.0013333875    0.00085774757
              -15             -105            -22.4      0.023721265      0.062071152     -0.011635279    -0.0052765296    -0.0012727554    0.00028506026
               15             -105            -22.4       0.04165154      0.053045202     -0.009422686     0.0021394046    -0.0018455985   -0.00043381585
               45             -105            -22.4      0.049827423      0.036818203    -0.0021379341     0.0051702643    -0.0017153851   -0.00045645726
               75             -105            -22.4      0.042620003      0.020399459     0.0070814569     0.0056914198    -0.0014281708   -0.00049069239
              105             -105            -22.4      0.017721709     0.0064467685      0.016741566     0.0069482257   -9.6510659e-05   -0.00012468225
             -105              -75            -22.4     -0.039160434    0.00030621013    -0.0046573444     -0.087432951      -0.01611726    -0.0078970017
              -75              -75            -22.4     -0.092377134      0.034222707    -0.0014199031     -0.066873662    -0.0060931533    -0.0011743187
              -45              -75            -22.4     -0.099826455      0.061132241     -0.026619371     -0.036429401    -0.0017680991    0.00032627175
              -15              -75            -22.4     -0.068364277      0.068898268     -0.043845821    -0.0052743354   -0.00051368558    0.00034354601
               15              -75            -22.4     -0.024371911      0.059061438     -0.037092198      0.015696818    -0.0005195128    0.00025773878
               45              -75            -22.4     0.0069051972      0.039530881     -0.013006233      0.022420511   -0.00051915739    0.00012016309
               75              -75            -22.4      0.016320545      0.020467266      0.015859993      0.021217469    -0.0002143876    -2.594428e-05
              105              -75            -22.4     0.0080242204     0.0052457908      0.041302394      0.020933669    0.00090369128    0.00022633401
             -105              -45            -22.4      -0.12198716     -0.016118553       0.10107457      -0.13210869      -0.03443975     -0.021107018
              -75              -45            -22.4      -0.28989032     0.0046457262      0.048275795      -0.10949952     -0.011489523    -0.0045718672
