           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
             -105             -105            -22.4     0.0020167606   -0.00087808218     0.0029736683    -0.0013918525    0.00081362762     0.0046284893
              -75             -105            -22.4     0.0016838469   -0.00069961406     0.0048680566     -0.002306608   -0.00055629661     0.0058936914
              -45             -105            -22.4    0.00054279598   -0.00014575594     0.0060782372    -0.0024829546    -0.0013105015     0.0065145916
              -15             -105            -22.4   -0.00079428812    0.00043329483     0.0056427219    -0.0024797581   -0.00095249229     0.0063281856
               15             -105            -22.4    -0.0015625539    0.00073241472     0.0043972949    -0.0018912108   -9.9791483e-05     0.0053363349
               45             -105            -22.4    -0.0015916302    0.00078451203     0.0028132647    -0.0013330227     0.0006344447     0.0040293089
               75             -105            -22.4    -0.0013002353    0.00066790223     0.0016135731   -0.00084510463     0.0010756117     0.0027471494
              105             -105            -22.4   -0.00091784657    0.00050939841      0.000776359   -0.00042874806      0.001183119     0.0016582289
             -105              -75            -22.4     0.0050545246    -0.0020238771     0.0051420755    -0.0027346965    -0.0017283938     0.0077161281
              -75              -75            -22.4     0.0046334085     -0.002237411      0.010133338    -0.0065097613      -0.01031406     0.0091740368
              -45              -75            -22.4    0.00086372602   -0.00022664966      0.012836862    -0.0079929158     -0.014675362      0.010766055
              -15              -75            -22.4    -0.0028068551      0.001903974      0.010883062    -0.0061788773     -0.013741272      0.011086565
               15              -75            -22.4    -0.0038920392     0.0022249408     0.0069710985    -0.0036302516     -0.009098216      0.010042729
               45              -75            -22.4    -0.0033875657      0.001562429     0.0039434955    -0.0017124668    -0.0044749333     0.0077185058
               75              -75            -22.4    -0.0025252511     0.0012376646     0.0020546441   -0.00094772718     -0.001152822     0.0050977301
              105              -75            -22.4    -0.0016593264    0.00089708762    0.00091267342   -0.00044774541      0.001105718     0.0025833475
             -105              -45            -22.4      0.011480571    -0.0061769793     0.0088626863    -0.0060370192    -0.0064538801      0.011804119
              -75              -45            -22.4      0.013971044    -0.0099217147      0.024369784     -0.020496206     -0.025913177      0.011646042
              -45              -45            -22.4     0.0020434663    -0.0003906927      0.040312428     -0.035222568     -0.034916811      0.012112811
              -15              -45            -22.4     -0.011784664     0.0099894842      0.024962649     -0.019658299     -0.032845318      0.014579976
               15              -45            -22.4     -0.010030369      0.006420671      0.010517213    -0.0063344045     -0.021071702      0.013746995
               45              -45            -22.4    -0.0063926666     0.0031504484     0.0044735745    -0.0020119539     -0.010372022      0.010884053
               75              -45            -22.4     -0.004065129      0.001886275     0.0019957889   -0.00081676891    -0.0034771631      0.007199253
              105              -45            -22.4    -0.0024853037     0.0012335372     0.0008302069    -0.0003356181    0.00087482599     0.0034488426
             -105              -15            -22.4      0.026971597     -0.017824722      0.011522689    -0.0086986599     -0.013767067      0.015316842
              -75              -15            -22.4      0.064370215     -0.063706957      0.064328574     -0.069288798     -0.036371365    -0.0070127835
              -45              -15            -22.4    -0.0095234765     0.0092241503       0.17817579      -0.20604065     -0.007243841     -0.066836126
              -15              -15            -22.4     -0.063754298      0.068420455       0.06584955     -0.069861218     -0.046009906    -0.0043241987
               15              -15            -22.4     -0.024143606      0.018275548      0.012469244    -0.0090525206     -0.034440365      0.015725842
               45              -15            -22.4      -0.01038929     0.0059236232      0.003439713    -0.0015798227     -0.016013205      0.012776024
               75              -15            -22.4    -0.0055095758     0.0023893213      0.001219346   -0.00036362041    -0.0055164145      0.008525881
              105              -15            -22.4    -0.0031291018     0.0014588354    0.00048343861   -0.00011846201    0.00067469251     0.0040259124
             -105               15            -22.4      0.040563695     -0.028879751   -8.2774553e-05    0.00049793825     -0.015291995      0.015527652
              -75               15            -22.4       0.16862759      -0.18883474    -0.0023882543     0.0032551801      0.036386706       -0.1117236
              -45               15            -22.4     -0.044132788      0.050802272      0.029436406     -0.036336873        0.5709734      -0.83815211
              -15               15            -22.4      -0.18620086        0.2142486    0.00026080734    -0.0021390123     0.0099313129       -0.0884277
