           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
             -105             -105            -22.4     0.0014466938   -0.00067352585     0.0014071115   -0.00062709436     0.0016471866     0.0024048882
              -75             -105            -22.4     0.0018228577   -0.00084316672     0.0027630394    -0.0012008216     0.0011656568     0.0037937353
              -45             -105            -22.4     0.0018985326   -0.00081308937     0.0045142658      -0.00179864    0.00037191802      0.005207282
              -15             -105            -22.4     0.0012304215   -0.00059211865     0.0060425233    -0.0026103451    -0.0004459623     0.0063933213
               15             -105            -22.4   -0.00015712062    6.7418354e-05     0.0068725604    -0.0028681557   -0.00089912029     0.0067835627
               45             -105            -22.4    -0.0015042267    0.00069166673     0.0058318637    -0.0024447029     -0.000511411     0.0062306593
               75             -105            -22.4    -0.0020751387     0.0009439697     0.0039915531    -0.0017250659    0.00049239321     0.0050153178
              105             -105            -22.4    -0.0018577704    0.00083671801     0.0021152156   -0.00092542992     0.0016493616     0.0034834992
             -105              -75            -22.4     0.0028095115    -0.0012314352     0.0017539801    -0.0007168554     0.0011355111     0.0037868177
              -75              -75            -22.4     0.0039109159    -0.0019149062     0.0039028912    -0.0017489848    -0.0035170214     0.0068452754
              -45              -75            -22.4     0.0044207689    -0.0024370486     0.0071852184    -0.0035308013    -0.0088715758     0.0098048355
              -15              -75            -22.4     0.0035218112    -0.0020459208      0.011438188    -0.0061933002     -0.014169211      0.011722435
               15              -75            -22.4    -0.0003178301    6.2588268e-05      0.013714122    -0.0081123188     -0.016240615      0.012305829
               45              -75            -22.4    -0.0040509263     0.0021410491      0.010895878    -0.0055827382     -0.013541015      0.011101566
               75              -75            -22.4    -0.0050247647     0.0022928754     0.0065147053    -0.0030576955      -0.00708225     0.0084628072
              105              -75            -22.4    -0.0040283226     0.0016442928     0.0030039803    -0.0013319817      0.000287823      0.005591067
             -105              -45            -22.4      0.004373807    -0.0019048571     0.0017544557   -0.00067603262    0.00041440051     0.0052690208
              -75              -45            -22.4     0.0072336383    -0.0038532263     0.0044889809    -0.0021324446    -0.0089992266     0.0098736593
