           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
             -105             -105            -22.4      0.028267743     -0.017803255     -0.037256468     -0.032764155    -0.0095761195    -0.0033151358
              -75             -105            -22.4      0.074064083     -0.014845694       -0.0219176     -0.016472831    -0.0041557979    7.0186215e-05
              -45             -105            -22.4      0.099363305     -0.016062625     -0.010983584     -0.010541658    -0.0023894766    0.00046156778
              -15             -105            -22.4       0.10883251     -0.018615376    -0.0030153536    -0.0081922822    -0.0019875879    0.00041911227
               15             -105            -22.4       0.10499357     -0.018688139      0.003547427    -0.0080695609    -0.0020550988    0.00051449682
               45             -105            -22.4      0.088999279     -0.014179448     0.0096806288    -0.0090704858    -0.0017888424     0.0007621969
               75             -105            -22.4      0.062281527    -0.0059560915      0.015700931     -0.008916771    -0.0012807602    0.00069246045
              105             -105            -22.4      0.023831002     0.0015652252      0.022172973    -0.0047104526   -3.5588659e-05    0.00057913584
             -105              -75            -22.4     0.0099979481     -0.021321442     -0.093559876     -0.052670341     -0.021415653     -0.010244282
              -75              -75            -22.4      0.030345036     -0.025574367     -0.056688279     -0.025703572      -0.01000912     -0.001881458
              -45              -75            -22.4       0.05006006     -0.026736163     -0.031615417     -0.014245049    -0.0036448317    0.00071060902
              -15              -75            -22.4      0.065487467      -0.02758939     -0.011385635     -0.011362205    -0.0015303349    0.00083427393
               15              -75            -22.4      0.070650309     -0.027803322     0.0078200772     -0.013893633   -0.00089363876    0.00061387703
               45              -75            -22.4       0.06366431     -0.022781145      0.026174843     -0.018634975   -0.00046084833    0.00051022443
               75              -75            -22.4       0.04484893     -0.014108059      0.043616802      -0.02088042   -0.00022644368    0.00044286344
              105              -75            -22.4      0.016918333    -0.0040884931      0.060079034     -0.013133955    0.00078890793    0.00022888374
             -105              -45            -22.4     -0.029004179     -0.032838706      -0.11800623     -0.071541511      -0.05489948     -0.031332344
              -75              -45            -22.4     -0.055272542     -0.038479164     -0.079785675     -0.036713496     -0.022699304    -0.0064188996
              -45              -45            -22.4     -0.037009303     -0.029900447     -0.059766088     -0.021816511    -0.0087156286   -0.00046850584
              -15              -45            -22.4   -0.00011349125     -0.022424465     -0.033760313     -0.014876265    -0.0022578803     0.0005754453
               15              -45            -22.4      0.025846578       -0.0197329   -5.0526578e-05     -0.017175684   -0.00038749436    0.00053644303
               45              -45            -22.4      0.033330247     -0.017220249      0.032886583     -0.024845853   -0.00010282261    0.00028920491
               75              -45            -22.4        0.0264141     -0.012047388      0.061962951     -0.030357609    0.00013431489    9.2562186e-05
              105              -45            -22.4      0.010143752    -0.0045567136      0.086105086     -0.021781066      0.001042823   -4.3722976e-06
             -105              -15            -22.4      -0.14442457     -0.092443034     -0.071175031     -0.084211141      -0.14594021     -0.096745946
              -75              -15            -22.4      -0.26185089      -0.11539922     -0.098506004     -0.066857651     -0.054548342      -0.02015949
              -45              -15            -22.4      -0.18959104     -0.063331246      -0.12984619     -0.051571645     -0.012975793    -0.0011246556
              -15              -15            -22.4     -0.088702433     -0.024452534     -0.093800172     -0.029303744    -0.0031370055    0.00048457275
               15              -15            -22.4     -0.024536444     -0.010546374     -0.029554375     -0.020984564   -0.00052686507    0.00031939009
               45              -15            -22.4     0.0020581831    -0.0076257833      0.026337147     -0.027464876    0.00017813547    8.2812687e-05
               75              -15            -22.4     0.0080323014    -0.0062200124      0.068716735     -0.034459349    0.00022687942    2.8298182e-05
              105              -15            -22.4     0.0037112331    -0.0036195107       0.10000632     -0.026361873     0.0009928589   -0.00061657693
             -105               15            -22.4      -0.55147111      -0.35861847       0.21599257      0.020145675      -0.40424895      -0.29672456
              -75               15            -22.4      -0.75543851      -0.40699703      -0.24352321       -0.1910727     -0.096686915     -0.035043553
              -45               15            -22.4      -0.41046333      -0.17023097      -0.34150395      -0.16205531      -0.02027484     0.0021230914
              -15               15            -22.4      -0.16771981      -0.04475978      -0.21661973      -0.07245262    -0.0032452154     0.0013850239
               15               15            -22.4     -0.064364895    -0.0078053679      -0.08279606      -0.03026697   -0.00050852716     0.0002596651
               45               15            -22.4     -0.024971509   -0.00089983857     0.0067299576     -0.028052352      0.000403752    3.1591662e-07
               75               15            -22.4    -0.0095527265     -0.001616269      0.064840972     -0.033262376     0.0003225134   -0.00040726212
              105               15            -22.4    -0.0028570853    -0.0027493148       0.10207616     -0.025212031    0.00068879256   -0.00060676521
             -105               45            -22.4       -2.1229429         -1.27631        1.4360192        0.7378456       -0.9009316      -0.79305971
              -75               45            -22.4       -1.5474734       -1.0036768       -1.1420958      -0.79029012      -0.13490491      0.020027656
              -45               45            -22.4       -0.4525077      -0.26552853      -0.84424406      -0.47065714     -0.015662156      0.017453402
              -15               45            -22.4      -0.14589979     -0.053303182      -0.38775426      -0.15666208     0.0024651436      0.004200486
               15               45            -22.4     -0.070295334    -0.0084145414       -0.1406083     -0.047925059     0.0032527056    0.00084889249
               45               45            -22.4     -0.043683313    0.00045685688     -0.014065452     -0.027603891     0.0014741708   -0.00016442398
               75               45            -22.4     -0.027546324   -0.00084209425      0.052556626     -0.028992478    0.00071975513   -0.00081975991
              105               45            -22.4     -0.010022956    -0.0032741728      0.091719598     -0.020784233    0.00055232999   -0.00066209881
