           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
             -105             -105            -22.4      0.021662591      0.052611414      0.021371128      0.048623312      0.057770714      0.030908188
              -75             -105            -22.4     -0.023565624      0.045369614        0.1464525       0.12349918       0.14670521      0.079086095
              -45             -105            -22.4      -0.34746853         -0.17952       0.56192464       0.47156307       0.40735126       0.19046627
              -15             -105            -22.4       -1.7664762       -1.1867481        2.2637758        1.7943592       0.86907578    -0.0011796616
               15             -105            -22.4       -3.5411136      -0.60981494       0.16152327       0.19402264     -0.036103137     -0.044377204
               45             -105            -22.4       -1.6456574       -1.0654582       -2.3633378       -1.8793849      -0.91918284     0.0026976513
               75             -105            -22.4      -0.34286693      -0.18237394      -0.56600922      -0.46092963       -0.4163357      -0.19562326
              105             -105            -22.4     -0.031005047       0.03043253      -0.14495528      -0.13591278       -0.1654871     -0.088542044
             -105              -75            -22.4      0.011058515      0.034819771      0.046457522      0.047653738      0.026982499     0.0067755883
              -75              -75            -22.4      0.035949215      0.078335427       0.27902287       0.17251404      0.057434786      0.010188648
              -45              -75            -22.4       0.16857004       0.20933214       0.81132907       0.56188929        0.1073647    -0.0012877625
              -15              -75            -22.4        1.0485033       0.99405497        1.6721696        1.4192722       0.10759065      -0.16875789
               15              -75            -22.4        2.7235265        2.8484342     -0.032590479     -0.045143373     0.0086287456      0.022277866
               45              -75            -22.4        1.0820768        1.0443305       -1.6161622       -1.3809514      -0.16839068       0.12050565
               75              -75            -22.4       0.15567937       0.19663136      -0.82905149      -0.57929945      -0.10287889     0.0069059832
              105              -75            -22.4      0.011224114      0.048809938      -0.28816488      -0.17658035     -0.066561736     -0.016420316
             -105              -45            -22.4       0.02420735      0.029597778      0.029874874      0.025681563      0.014331054     0.0015023442
              -75              -45            -22.4       0.11055221      0.086315058       0.21180105       0.10125571      0.020757761   -0.00011584052
              -45              -45            -22.4       0.33792755       0.24161057       0.46013942       0.25493568      0.031074518    -0.0079042492
              -15              -45            -22.4       0.85302788       0.63960493       0.54362351        0.3578752      0.028723566     -0.012902572
               15              -45            -22.4        1.2607003       0.99899089    -0.0031475648    -0.0048614144     0.0024221102      0.002297726
               45              -45            -22.4       0.84150106       0.63355291      -0.54831707      -0.37355924      -0.02475814      0.015797785
               75              -45            -22.4       0.32218891       0.23276895      -0.45582548        -0.247078     -0.026879935     0.0066453516
              105              -45            -22.4      0.071838424       0.06218449       -0.2121689     -0.095622674     -0.030386144    -0.0057572238
             -105              -15            -22.4      0.026722942      0.021559734     -0.016310237     0.0046740659     0.0081426464    0.00078307115
              -75              -15            -22.4       0.10616498      0.055696622      0.089281425      0.038661685      0.005991919    -0.0014057145
              -45              -15            -22.4        0.2560266        0.1275955       0.18757915      0.075998954     0.0045740185     -0.002313761
              -15              -15            -22.4       0.46628001       0.24636491       0.18360956       0.08193735     0.0056782439    -0.0021752845
               15              -15            -22.4       0.57595384       0.31688315     0.0083716977     0.0023857472   -0.00030720438   -0.00094640127
               45              -15            -22.4       0.45913139       0.24438407      -0.17281932     -0.082691647     -0.011388045    0.00012461428
               75              -15            -22.4       0.23981136       0.12285297      -0.17937906     -0.072170608    -0.0082316948     0.0020037403
              105              -15            -22.4      0.065415323      0.040977359     -0.079741023     -0.024814265     -0.017906105    -0.0036687315
             -105               15            -22.4      0.016694907      0.014416821     -0.053679921    -0.0041796197     0.0059789671    0.00040567279
              -75               15            -22.4      0.062449519      0.029375434     0.0091825426      0.012667521     0.0028629429   -0.00098627503
              -45               15            -22.4       0.13610168      0.052533124      0.056912828      0.019534919     0.0019670015   -0.00074786827
              -15               15            -22.4       0.21784368      0.081619382      0.061357245      0.018328944    0.00022219593    -0.0013669954
               15               15            -22.4       0.25905344      0.098481007     0.0082184067   -0.00038411943   -0.00034455155   -0.00013785379
               45               15            -22.4        0.2154268      0.081469208     -0.040392321     -0.015191299    -0.0014852068    0.00014435907
               75               15            -22.4       0.12494174      0.050135426     -0.038684398     -0.014457943    -0.0040521012     0.0011167462
              105               15            -22.4      0.038918205      0.022592725      0.014237695     0.0062908945     -0.010536557    -0.0022511787
             -105               45            -22.4     0.0035599284      0.011018899     -0.067672484    -0.0068104048     0.0041539483   -0.00029142085
              -75               45            -22.4      0.016551014      0.019188056     -0.027434567     0.0043101432     0.0012470218   -0.00081197836
              -45               45            -22.4      0.042158499      0.026769692     0.0047595189     0.0059030093    0.00022678921   -0.00073947728
