           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
             -105             -105            -22.4       -2.7959201       -1.7159379        1.0769005       0.61894977       -1.0557427      -0.86603791
              -75             -105            -22.4       -2.0405221       -1.3030506       -1.0191717      -0.70125687      -0.33261707     -0.092827924
              -45             -105            -22.4      -0.61218774      -0.34456804      -0.54720879      -0.36530897      -0.17227463      -0.07460513
              -15             -105            -22.4      -0.10323919     -0.047389761       -0.1969142      -0.11457111     -0.081269145      -0.03754938
               15             -105            -22.4      0.061746404      0.013874448     -0.063437335     -0.038848795     -0.039182682     -0.017371966
               45             -105            -22.4      0.093580224      0.019572766     -0.012665467     -0.019984711     -0.018992843    -0.0063315327
               75             -105            -22.4      0.076451585      0.019135982      0.010706781     -0.015577078    -0.0095158089    -0.0016252553
              105             -105            -22.4      0.031657554      0.016675519      0.024262197     -0.011933126    -0.0048056655    0.00037043146
             -105              -75            -22.4       -0.4220719        1.3946307        3.3631823         2.394774     0.0083145238      -0.43355697
              -75              -75            -22.4      -0.26495552      -0.21803719       -2.7700834       -2.0425508     -0.030079775       0.45844442
              -45              -75            -22.4      -0.11559327      -0.10700281       -1.1590594      -0.76038939     -0.036822386      0.047613263
              -15              -75            -22.4     -0.012143463     -0.025418676      -0.42955393      -0.22091956     -0.025171231   -0.00038484909
               15              -75            -22.4      0.044013269     -0.007029226      -0.14807464     -0.066718824     -0.012851149    -0.0016337414
               45              -75            -22.4      0.058938868    -0.0021819375     -0.026065972      -0.03164139    -0.0053094341   -2.5599431e-05
               75              -75            -22.4      0.047552727     0.0020297228      0.031331409     -0.025811583    -0.0031788624    0.00059176196
              105              -75            -22.4      0.019256227     0.0052642678      0.064474642     -0.016747495     -0.001681142    0.00096881052
             -105              -45            -22.4         2.165103        2.1980245        1.4163282        1.1078361       0.92690438       0.53872681
              -75              -45            -22.4        1.5386891        1.1167094       -1.1104944       -1.0625556       0.09879642       0.19370355
              -45              -45            -22.4       0.45144007       0.22100908      -0.82384807       -0.5657497       0.01707585      0.048631869
              -15              -45            -22.4       0.15127072      0.037300609      -0.39360636      -0.19359191   -0.00087425212     0.0063251955
               15              -45            -22.4      0.068182155   -0.00076306239      -0.14457491      -0.06487038    -0.0022459808     0.0011816071
               45              -45            -22.4      0.042538449    -0.0056591877      -0.01937698     -0.036272515    -0.0018815597    0.00052456092
               75              -45            -22.4      0.026944306    -0.0024700102      0.047471695     -0.033968151    -0.0011253265    0.00062046811
              105              -45            -22.4      0.010115292     0.0018484994       0.08812172     -0.023751888    -0.0010358719    0.00075340288
             -105              -15            -22.4       0.53299785       0.46070907       0.23282848       0.14212854       0.40089083       0.26191688
              -75              -15            -22.4        0.7443862       0.48952442      -0.20263134       -0.2132417        0.1093569      0.059576973
              -45              -15            -22.4       0.41036171        0.1919681       -0.3367922      -0.21590114      0.019187421      0.011235169
              -15              -15            -22.4       0.17057267      0.046995752      -0.21746756      -0.10268754     0.0052410094     0.0027993519
               15              -15            -22.4      0.066025861     0.0064419489      -0.08874023     -0.048107643    0.00043161848    0.00059450022
               45              -15            -22.4      0.025800282    -0.0011201426    0.00072846614     -0.037470926   -0.00089954131    0.00010577092
               75              -15            -22.4      0.010368999   -0.00012287701      0.059188507     -0.039024297    -0.0003947154    0.00055727753
              105              -15            -22.4     0.0032104892     0.0015870653      0.098062724     -0.029395083    -0.0011551615    1.1304087e-07
             -105               15            -22.4       0.13773884       0.11238086     -0.055266421     -0.043351814       0.14101413      0.089694008
