           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
             -105             -105            -22.4      0.017377224     0.0063270219     -0.016476229    -0.0068137767    0.00021685287     0.0001308881
              -75             -105            -22.4      0.042361576      0.020486105    -0.0072232378    -0.0057252767     0.0014156938    0.00045885364
              -45             -105            -22.4      0.050084062      0.036743984     0.0023090546    -0.0051894481      0.001784701    0.00054407376
              -15             -105            -22.4      0.041645765      0.052876674     0.0094626397    -0.0023489762      0.001577629    0.00025307422
               15             -105            -22.4      0.023534374      0.062281858      0.012153122      0.004964483     0.0015254575    -5.083498e-05
               45             -105            -22.4     0.0072654188      0.056197233      0.010039135      0.015343802     0.0012721533   -0.00086726714
               75             -105            -22.4    0.00025031733       0.03361975     0.0070215245      0.027058892     0.0022218409    -0.0010593358
              105             -105            -22.4    -0.0013534962   -0.00020785874      0.016215757      0.038940478     0.0072318818     0.0019378602
             -105              -75            -22.4     0.0078256736      0.005186101     -0.041234355     -0.020889303   -0.00095289177    -0.0003197779
              -75              -75            -22.4      0.016028615      0.020583613     -0.015621821     -0.021380424    8.4263251e-05   -2.2080472e-05
              -45              -75            -22.4     0.0068106186      0.039607123       0.01306731     -0.022824645    0.00045630333   -0.00018877108
              -15              -75            -22.4     -0.024143953      0.058523118      0.037392426     -0.015476947    0.00058467494   -0.00035036865
               15              -75            -22.4     -0.068029985      0.069197923      0.043868516     0.0049599097     0.0008006444   -0.00050833751
               45              -75            -22.4      -0.10022423      0.060478721      0.025791967      0.036450766     0.0011169206   -0.00069105753
               75              -75            -22.4     -0.092277385      0.033794627    0.00052212237      0.066458002     0.0053245756    0.00023640261
              105              -75            -22.4     -0.037698507     0.0012520058     0.0049701123      0.087503433      0.015034898     0.0069097611
             -105              -45            -22.4    -0.0016179755     0.0045695379     -0.049021173     -0.036712702    -0.0014782078   -0.00029872142
              -75              -45            -22.4     -0.013150646      0.021132832    -0.0062804976     -0.040644929   -0.00048903289   -0.00025394961
              -45              -45            -22.4     -0.049417779      0.041114587      0.050096359     -0.043394547     0.0001728348   -0.00015428507
              -15              -45            -22.4      -0.12589408      0.058653317       0.10218148     -0.029935867   -0.00023241458   -8.4686842e-05
               15              -45            -22.4      -0.23051819      0.060363811        0.1165112     0.0095375683   -0.00056655239    -0.0002713291
               45              -45            -22.4      -0.31612757      0.038055699      0.056265421      0.063140422     0.0024019801   -0.00083174428
               75              -45            -22.4      -0.29306149     0.0045744963     -0.054961503       0.10718255      0.011173472     0.0028038486
              105              -45            -22.4      -0.12434646     -0.015641829       -0.1022064       0.13172269      0.032268625      0.019124933
             -105              -15            -22.4    -0.0087866327     0.0010957427     -0.040044919     -0.051962357    -0.0011473967   -4.0412604e-05
