           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
             -105             -105            -22.4     0.0013306926   -0.00061424257    0.00096610445   -0.00045451918     0.0012322325     0.0022468157
              -75             -105            -22.4     0.0020213046   -0.00092304498     0.0021376295   -0.00089052512    0.00084808184     0.0037568659
              -45             -105            -22.4     0.0029117395     -0.001297028     0.0040912866    -0.0015433241   -0.00025821873     0.0057339212
              -15             -105            -22.4     0.0035141353    -0.0019798477     0.0071412316     -0.003081413    -0.0023729485     0.0081084911
               15             -105            -22.4     0.0027639226    -0.0018577905      0.011401876    -0.0054639112    -0.0051328894      0.010059528
               45             -105            -22.4   -0.00063414633   -0.00013152434      0.013101905    -0.0066450918     -0.006208885      0.010638418
               75             -105            -22.4    -0.0039202538     0.0019180026      0.010216795    -0.0055011525    -0.0044230279      0.009785993
              105             -105            -22.4    -0.0041812123     0.0019373228     0.0052970704    -0.0027566955   -0.00041237008     0.0079531204
             -105              -75            -22.4     0.0022402587    -0.0010244861    0.00096901436   -0.00040699163    0.00093311578      0.003211204
              -75              -75            -22.4     0.0037002836    -0.0017947576     0.0023645821   -0.00093224365    -0.0026062964     0.0060799499
              -45              -75            -22.4     0.0059417798    -0.0032173819     0.0051301704    -0.0022150914    -0.0084224474      0.009183215
              -15              -75            -22.4     0.0096928058     -0.006547377      0.011375066    -0.0063867555      -0.01782622      0.011581682
               15              -75            -22.4      0.011528736     -0.010115793      0.025923004     -0.019806769     -0.028604802      0.012039643
               45              -75            -22.4    -0.0016533996    0.00053988455      0.039528206     -0.030750902     -0.032160453      0.011558297
               75              -75            -22.4     -0.014091522     0.0090602944      0.024755042     -0.018609082     -0.024166536      0.011445233
              105              -75            -22.4     -0.011144979     0.0056925239     0.0089434674    -0.0058128783    -0.0063415342      0.011942782
             -105              -45            -22.4     0.0029912191    -0.0013349222    0.00066209765   -0.00022991546    0.00068527611     0.0039716358
              -75              -45            -22.4     0.0054679047    -0.0026000193     0.0016798773   -0.00061020465    -0.0054029813     0.0080423662
              -45              -45            -22.4       0.01023491    -0.0060616904     0.0041536768    -0.0020055966     -0.015345631      0.011763087
              -15              -45            -22.4      0.024403414     -0.019565983       0.01340899    -0.0098385075     -0.032721732      0.013884668
               15              -45            -22.4      0.064358257     -0.068589114      0.062844224     -0.064915836     -0.046869636    -0.0029820281
               45              -45            -22.4    -0.0035835588     0.0012295572       0.18749054      -0.21292204      0.012647619     -0.086947255
               75              -45            -22.4     -0.063634582      0.061911736      0.062573485     -0.064472362     -0.039027236    -0.0035452368
              105              -45            -22.4     -0.026527369      0.017862992      0.011567886    -0.0089052385     -0.013368755      0.014755743
             -105              -15            -22.4      0.003432388    -0.0013764396     6.382729e-05    4.8825081e-05    0.00057425542     0.0042754943
              -75              -15            -22.4     0.0061273454    -0.0027676031    0.00010055989    0.00011085482    -0.0064715529     0.0087361317
              -45              -15            -22.4      0.012502074    -0.0064657265     0.0001984151    0.00020008873      -0.01861416      0.013040621
              -15              -15            -22.4      0.036839999     -0.030319981    0.00062578969   -0.00083929725     -0.037410703       0.01257788
               15              -15            -22.4       0.17696491      -0.20368773    -0.0040983385      0.003688354     0.0067928298     -0.083844185
               45              -15            -22.4     -0.046727616      0.046102662      0.048254449     -0.054741569       0.55489415      -0.81596941
               75              -15            -22.4      -0.18755898       0.20991048    -0.0022000023     0.0019005083     0.0094035072     -0.075768925
              105              -15            -22.4     -0.039188858       0.02803871    0.00025118934    0.00041724567     -0.016684594      0.016767774
             -105               15            -22.4     0.0031798494    -0.0012863602   -0.00051791087    0.00028281793    0.00070296251     0.0040859706
              -75               15            -22.4     0.0054869549    -0.0022225536     -0.001321572    0.00072156411     -0.005765948     0.0083143469
              -45               15            -22.4      0.010156479    -0.0048000477    -0.0035440235     0.0020236496     -0.016211348      0.012329089
              -15               15            -22.4      0.022984402     -0.016599637     -0.012244698     0.0089363903     -0.032712534      0.013054392
               15               15            -22.4      0.061836034     -0.063326806     -0.058736183      0.060179424     -0.048257332     -0.002568746
               45               15            -22.4     0.0067543015    -0.0089503992      -0.16156095       0.18348205     0.0095194438     -0.090511404
               75               15            -22.4     -0.061896726      0.058918141     -0.058658861      0.058921739      -0.04065305    -0.0024967839
              105               15            -22.4     -0.025431275      0.015755348     -0.010674065     0.0083173811     -0.013183136       0.01436727
             -105               45            -22.4     0.0024629971     -0.001031104   -0.00089064601    0.00042544803    0.00091089652     0.0035003081
              -75               45            -22.4     0.0040072543    -0.0014392572    -0.0020529591    0.00090108241    -0.0036454285     0.0069972738
              -45               45            -22.4     0.0060914028    -0.0023602331    -0.0044683092     0.0019564256     -0.010421054       0.01032031
              -15               45            -22.4       0.00920959    -0.0049623046     -0.010189112     0.0054900143     -0.020745646      0.012231396
               15               45            -22.4      0.010953861    -0.0082126055     -0.024188533      0.017443076     -0.031899098       0.01154119
               45               45            -22.4    -0.0010076754    0.00059944415     -0.036473911      0.027536348     -0.034012295      0.008762463
               75               45            -22.4     -0.014134695     0.0082189767     -0.022604287      0.017109126     -0.025456928     0.0098310765
              105               45            -22.4     -0.011126457     0.0046754833    -0.0088145025     0.0054594306    -0.0066645062      0.011525786
             -105               75            -22.4     0.0016145713   -0.00068845093   -0.00091850013    0.00044720378     0.0010781272     0.0026446176
              -75               75            -22.4     0.0024184005   -0.00097034581    -0.0020464647    0.00095258636    -0.0012042013     0.0050364761
              -45               75            -22.4     0.0032003354    -0.0010401326    -0.0039217989     0.0014885578    -0.0045406492     0.0073401984
              -15               75            -22.4     0.0036247696    -0.0011917673    -0.0067435517     0.0025764592    -0.0091178278     0.0092194043
               15               75            -22.4     0.0025053816     -0.001148088     -0.010367431     0.0044879229     -0.013735141      0.010015299
               45               75            -22.4   -0.00099999795     0.0001634692      -0.01242514     0.0071427198       -0.0146361     0.0095172692
               75               75            -22.4    -0.0043183081     0.0012858221    -0.0092392983     0.0042828899     -0.010244608     0.0085822502
              105               75            -22.4    -0.0045122076     0.0013865659    -0.0049063186     0.0024219921    -0.0016517575     0.0075630732
             -105              105            -22.4    0.00085294136    -0.0003575446   -0.00078491145    0.00038427245     0.0012214115     0.0017469234
