           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
             -105             -105            -22.4     0.0079955868    -0.0049741399     0.0035085378    -0.0013453712    -0.0032712643     0.0099172136
              -75             -105            -22.4      0.022300465     -0.018462792      0.014056638    -0.0075997347     -0.011523811      0.015764838
              -45             -105            -22.4      0.062904067     -0.064391412      0.066260032     -0.060614593     -0.017845681      0.012381917
              -15             -105            -22.4     0.0083913812     -0.007700114        0.1991687      -0.22187756      0.045308772      -0.07138826
               15             -105            -22.4     -0.063635699      0.068538956      0.067350008     -0.063211411     -0.013843766     0.0060738549
               45             -105            -22.4     -0.022657102        0.0194744       0.01462741    -0.0084172795     -0.012379512      0.015556267
               75             -105            -22.4    -0.0077959346     0.0053295959     0.0041313246    -0.0012507095    -0.0041613821     0.0094323969
              105             -105            -22.4    -0.0033689709     0.0019252523      0.001325683   -0.00049601076   -0.00070921623     0.0054012397
             -105              -75            -22.4      0.010754609    -0.0065036127    0.00081359927    0.00043461905    -0.0059833578      0.010115734
              -75              -75            -22.4      0.038436271     -0.034824248     0.0018996097     0.0019899304     -0.022976391     0.0091526704
              -45              -75            -22.4       0.18352526      -0.21489695     0.0098692887    -0.0030377684      0.023090418     -0.088476807
              -15              -75            -22.4      0.010311129      -0.01086398     0.0088901781     -0.007041981       0.62095749      -0.87738323
               15              -75            -22.4      -0.15911441       0.18840605     0.0023864419     0.0036146913      0.026289763     -0.092135876
               45              -75            -22.4     -0.037073024      0.032076087     0.0031868946    0.00069952558     -0.024810754      0.009181831
               75              -75            -22.4     -0.010557146     0.0069956947     0.0013894165    0.00059098535     -0.010344022     0.0090657836
              105              -75            -22.4    -0.0042714262     0.0023663149    0.00053682493    4.4296841e-05    -0.0016649443     0.0060499092
             -105              -45            -22.4     0.0091910837     -0.004723236    -0.0019712308     0.0020308723    -0.0057068132     0.0093760649
              -75              -45            -22.4      0.024509825     -0.020335572     -0.010684487      0.011128563     -0.024737608     0.0090595987
              -45              -45            -22.4      0.063425548     -0.066926241     -0.059985612      0.067980379     -0.032649845     -0.015127991
              -15              -45            -22.4      0.004074838    -0.0033029378      -0.15963784       0.18887533      0.020035217     -0.097362421
               15              -45            -22.4      -0.05875418      0.061341032     -0.056012325      0.060426392      -0.03447783      -0.01194907
               45              -45            -22.4     -0.022356974      0.017111231    -0.0096258353     0.0093086157     -0.026175547     0.0094614355
               75              -45            -22.4    -0.0088162152     0.0050138677    -0.0018008986     0.0019530063      -0.01106049     0.0086858273
              105              -45            -22.4    -0.0041589518     0.0019638296   -0.00048313144    0.00053873257    -0.0017355809     0.0058496245
             -105              -15            -22.4     0.0057935277    -0.0021881261    -0.0027100518     0.0016461576    -0.0033557229     0.0077288775
              -75              -15            -22.4     0.0096980389    -0.0056947721    -0.0080779763     0.0061986204     -0.015873078     0.0090625901
              -45              -15            -22.4      0.011606871    -0.0082576461      -0.02084217      0.016325573     -0.029186154      0.010159226
              -15              -15            -22.4    -7.363256e-05    0.00019817585     -0.034735285      0.029689772     -0.032539934     0.0079663014
               15              -15            -22.4     -0.011391281      0.008383235     -0.021288015      0.016799565      -0.02956094      0.009920733
               45              -15            -22.4    -0.0091830324     0.0052106683    -0.0080181463     0.0057477821     -0.018309413       0.01023073
               75              -15            -22.4    -0.0055768127     0.0025056107    -0.0028248029     0.0017276139    -0.0080409739      0.008017933
