           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
             -105             -105            -22.4     -0.066808537      0.054893557      0.051212233     -0.071068801    -0.0021608849    -0.0013263175
              -75             -105            -22.4      -0.18995392       0.19069329      0.057404034     -0.069829486     0.0017203306     0.0027687196
              -45             -105            -22.4      -0.29402408       0.30354449      0.039769128     -0.046918929     0.0012983943     0.0030868181
              -15             -105            -22.4      -0.33796445       0.36299798     0.0035695059     -0.014890192    0.00021509746     0.0016705462
               15             -105            -22.4      -0.30726302        0.3547073     -0.033202257      0.019600082    -0.0015610517    -0.0020922027
               45             -105            -22.4      -0.21956711       0.28372651     -0.049436502      0.047573224    -0.0020465865    -0.0037343104
               75             -105            -22.4      -0.12038762       0.17310585     -0.047491107      0.061993271    -0.0026407198    -0.0036596791
              105             -105            -22.4      -0.03735226      0.050893776     -0.032127168      0.058153722    0.00031598686    -0.0004673748
             -105              -75            -22.4      -0.11662909      0.061362512       0.20794021      -0.21511985    -0.0080084009    -0.0056576203
              -75              -75            -22.4      -0.34372348       0.19811115       0.21682115      -0.20681503    -0.0019013775    -0.0009014901
              -45              -75            -22.4      -0.53440052       0.30489534       0.14544815      -0.13908727    0.00048738543    -0.0012148567
              -15              -75            -22.4      -0.62335247       0.35491124     0.0073082028     -0.040568713     0.0014050353     -0.000691886
               15              -75            -22.4      -0.55255628       0.35737336      -0.12771083      0.059272639     0.0002320452   -1.9897241e-05
               45              -75            -22.4      -0.38370213       0.29278088      -0.18558696        0.1409269    -0.0018123083   -0.00065060123
               75              -75            -22.4      -0.21037169       0.18528821      -0.16927207       0.18755512    0.00013522869    -0.0011079912
              105              -75            -22.4     -0.065609522      0.059493732      -0.12575684       0.18353072     0.0033113286      0.002188147
             -105              -45            -22.4      -0.19110942      0.038274296         0.485991      -0.34481597     -0.010981181     -0.012120947
              -75              -45            -22.4      -0.59905326       0.11222143       0.51777065      -0.31688532    -0.0049785506    -0.0082040671
              -45              -45            -22.4       -1.0119915       0.12884034       0.38965109      -0.18512633   -0.00070371688    -0.0019329351
              -15              -45            -22.4       -1.2196491         0.128756      0.016804162     -0.065748967    -0.0020600408     0.0014271113
               15              -45            -22.4       -1.0459567       0.16739106      -0.35104316      0.056682464     0.0025186343    9.6136413e-05
               45              -45            -22.4      -0.66399455       0.19395564      -0.45774961         0.200817     0.0026896729    0.00068535563
               75              -45            -22.4      -0.33191571       0.14444025       -0.3821452       0.29851207      0.001989569    0.00058734015
              105              -45            -22.4     -0.098957293      0.047709722      -0.28086171       0.30439609     0.0044443896     0.0031012008
             -105              -15            -22.4      -0.24969417     -0.019003872       0.92263746      -0.39050442     -0.012266623     -0.011503862
              -75              -15            -22.4      -0.88359183      -0.11094094        1.1136726      -0.26643848     -0.010586906     -0.005910709
              -45              -15            -22.4       -1.8007362        -0.415865       0.96651882     -0.060215618     -0.011009625     -0.027038842
              -15              -15            -22.4       -2.4169576      -0.67172194      0.024368752     -0.083781675     -0.006133134    -0.0023975573
               15              -15            -22.4       -1.8209108      -0.39350003      -0.92841077      -0.12646806      0.011534828      0.017836271
               45              -15            -22.4      -0.95426673      -0.06534525       -0.9845252       0.13539515      0.010345263      0.013444431
               75              -15            -22.4       -0.4075906      0.036513437      -0.71476817       0.33842099     0.0024085508    0.00088228122
              105              -15            -22.4      -0.10938586      0.016517831      -0.49040598       0.38360634     0.0035119497     0.0053219479
             -105               15            -22.4      -0.19218932     -0.078907728        1.3945719      -0.31087413    -0.0079673007      -0.01362608
              -75               15            -22.4      -0.82929564      -0.38868561        2.0314732      0.082597554     -0.015258266     -0.039538018
              -45               15            -22.4       -2.5605969       -1.3982229        2.6827664       0.82173508     -0.049804181      -0.17946929
              -15               15            -22.4       -4.7904229       -2.6052251     0.0013239291      -0.11321616      -0.14746645     -0.098440394
               15               15            -22.4       -2.5006065       -1.3572961       -2.5106351       -0.9597801       0.01280858       0.13152334
               45               15            -22.4      -0.87522608      -0.40140417       -1.8588893      -0.21863383      0.012913932      0.043322623
               75               15            -22.4      -0.27988556      -0.10077573       -1.0912325       0.26467693     0.0038206093     0.0048795599
              105               15            -22.4     -0.068504699      -0.02562339      -0.67996496        0.3846488      0.002061601     0.0025005226
             -105               45            -22.4      0.052463863     -0.083030678        1.5716071      -0.15191299    -0.0012888118    -0.0071801529
              -75               45            -22.4       0.12681055      -0.29775071        2.5966356       0.52926284     0.0017370194     -0.062716432
              -45               45            -22.4       0.23435183      -0.52431488        4.7907686        2.4541953      0.050838791      -0.50457233
              -15               45            -22.4       0.10974179       0.89298421      0.029438838     -0.082424879      0.017599909       0.06611155
               15               45            -22.4       0.17448175      -0.52723354       -4.6736617       -2.5857623        0.0398026       0.56444979
               45               45            -22.4       0.16996598      -0.35158762       -2.4115462      -0.65541136      0.010936568      0.073246971
               75               45            -22.4       0.10795248      -0.17861833       -1.2354381        0.1372648    0.00062057714      0.008622488
              105               45            -22.4       0.03194401     -0.061070565      -0.72907561       0.31034818       0.00231172    -0.0015824724
             -105               75            -22.4       0.30138606     -0.059337959        1.1571256     -0.050071642     0.0021207202    -0.0052376939
              -75               75            -22.4        1.1523429     -0.011329541        1.8229793       0.39586401     -0.023795161     -0.064645521
              -45               75            -22.4          3.04931       0.94115514        2.5251811        1.3834147      -0.02303235      -0.21497901
              -15               75            -22.4        5.4231682        3.0797133     -0.019053612      -0.12202533      0.031336255      0.029728271
               15               75            -22.4        2.9290218       0.72392613       -2.4843597       -1.4967729      0.048693806       0.25867125
               45               75            -22.4        1.2312528      -0.13559917       -1.6750745      -0.47068796      0.029632373      0.056239452
               75               75            -22.4        0.5024271      -0.20392297      -0.92884231      0.050167277     0.0074887937     0.0083097219
              105               75            -22.4       0.13603552     -0.081346139      -0.54031837       0.18467046     0.0027991333    -0.0042355075
             -105              105            -22.4       0.36816144     -0.037551705        0.4026669   -0.00058878452     -0.016054794     -0.013355689
              -75              105            -22.4        1.3153445     0.0030365167       0.57898045       0.10564814     -0.037333768     -0.038382772
              -45              105            -22.4        2.6037009       0.39917409       0.61338377       0.25787613     -0.039643712     -0.057571247
              -15              105            -22.4        3.3416715       0.73545194      0.014528474     -0.012919241    -0.0011984856    -0.0064125806
               15              105            -22.4        2.6189475       0.30447489       -0.5609228      -0.27226025      0.027067626      0.047575004
               45              105            -22.4        1.4345351      -0.14005075      -0.53581464       -0.1382547      0.039871469      0.047192663
               75              105            -22.4       0.63084978      -0.19887979      -0.33260211     0.0068815616      0.026424583      0.023158297
              105              105            -22.4       0.15984507     -0.080937542      -0.19582681      0.045386124      0.010795782     0.0094996337
