           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
             -105             -105            -22.4     0.0027208521    -0.0021816567    7.5182186e-05   -0.00028475988    -0.0027616434     0.0045254533
              -75             -105            -22.4     0.0082590878    -0.0066930763     0.0009211931    0.00032487698    -0.0057775723     0.0089121889
              -45             -105            -22.4      0.032788724     -0.028914291     0.0035067573     0.0015261541     -0.011180636      0.016798181
              -15             -105            -22.4       0.17224216      -0.19865911      0.010414154     0.0073697357      0.064484112      -0.06795045
               15             -105            -22.4      0.011702009     -0.013830916     0.0069527407      0.024870865       0.65515172      -0.81090641
               45             -105            -22.4      -0.17475705       0.19824393    -0.0015577861      0.018234637      0.063123614     -0.067026109
               75             -105            -22.4     -0.032928422      0.029747553     0.0029786746     0.0026133149     -0.011402238      0.017051704
              105             -105            -22.4    -0.0083720349     0.0066870833    0.00058917678    6.6088978e-06    -0.0058634984     0.0091975182
             -105              -75            -22.4     0.0021495067    -0.0024433946   -0.00056274969    0.00042169739    -0.0026052003     0.0047652065
              -75              -75            -22.4     0.0061665834    -0.0068821455     -0.001664005     0.0028174685     -0.005829093     0.0081287874
              -45              -75            -22.4      0.019235574     -0.019897142    -0.0083842138      0.011960929     -0.014140473      0.012212827
              -15              -75            -22.4      0.057520356     -0.065130495     -0.051625323      0.066440009     -0.013777693    -0.0036196066
               15              -75            -22.4    -0.0046998635     0.0036086207      -0.16532092       0.20899528      0.046990719     -0.087737277
               45              -75            -22.4     -0.056698244      0.063362248      -0.05718068      0.071687788     -0.014269508    -0.0031523122
               75              -75            -22.4     -0.019970452      0.020261481    -0.0084487312      0.011483614     -0.013173662      0.011526881
              105              -75            -22.4    -0.0060815299     0.0061257151    -0.0017256069     0.0021019327    -0.0055000405     0.0084018912
             -105              -45            -22.4     0.0013187708    -0.0017634147   -0.00072225073    0.00073704374    -0.0021432703      0.004136092
              -75              -45            -22.4     0.0030603292    -0.0037144201    -0.0018956256     0.0025776979    -0.0043720501     0.0065700887
              -45              -45            -22.4      0.006956894    -0.0073437137    -0.0062134368     0.0080672316    -0.0095839696     0.0087224478
              -15              -45            -22.4     0.0097207148    -0.0098358933     -0.017684441      0.020695059     -0.016036265     0.0093183424
               15              -45            -22.4   -0.00013208506    3.9291917e-05     -0.030705594      0.033273354     -0.017062418     0.0072054649
               45              -45            -22.4    -0.0099187875     0.0093924571      -0.01759077      0.019817736     -0.015969012     0.0090782959
               75              -45            -22.4    -0.0065160901     0.0065739444    -0.0058724382     0.0072252923    -0.0093516484     0.0086347656
              105              -45            -22.4    -0.0031708349     0.0033059677    -0.0019729943     0.0022479538    -0.0041238051     0.0065240203
             -105              -15            -22.4    0.00063374219    -0.0010854139   -0.00060297496    0.00064768019    -0.0015337726     0.0032405462
              -75              -15            -22.4     0.0012289697    -0.0017339682    -0.0012976849     0.0016925158    -0.0023484472     0.0050142133
              -45              -15            -22.4      0.001980006     -0.002040077    -0.0028950209     0.0032077418    -0.0046817102     0.0065011322
              -15              -15            -22.4     0.0020045498    -0.0019635481     -0.005627586     0.0061996053    -0.0074848905     0.0074023497
               15              -15            -22.4    4.5968147e-05    7.4030122e-06    -0.0072641624     0.0074293809    -0.0088439696     0.0074500288
               45              -15            -22.4    -0.0019500311     0.0017284099    -0.0054237535     0.0057738032     -0.007686839     0.0074410839
               75              -15            -22.4    -0.0020052914     0.0020937126    -0.0028779274      0.003327643    -0.0047252169     0.0063181859
              105              -15            -22.4    -0.0013678239     0.0015131978    -0.0013195429     0.0014403943    -0.0025737374     0.0047763502
             -105               15            -22.4    0.00021287843   -0.00069302012    -0.0003895915    0.00049125223    -0.0010191688     0.0024179842
              -75               15            -22.4    0.00040087866   -0.00082357327    -0.0007090263     0.0009614036   -0.00099662668     0.0037500923
              -45               15            -22.4    0.00060517096   -0.00077766477     -0.001313242     0.0015048847     -0.001669512     0.0047529167
              -15               15            -22.4     0.0005318466   -0.00052023953    -0.0020351703     0.0021731148    -0.0026104357     0.0053795059
               15               15            -22.4    3.7871199e-05    1.4182689e-05    -0.0023754165     0.0023482621    -0.0031862201     0.0056775333
               45               15            -22.4   -0.00044998125    0.00057946402    -0.0020239823     0.0022571806    -0.0027866184     0.0054029264
               75               15            -22.4    -0.0005915261    0.00083285006     -0.001327571     0.0015431006    -0.0019528983     0.0045287064
              105               15            -22.4   -0.00049138558    0.00081970327   -0.00076075352    0.00088413636     -0.001475165      0.003251842
             -105               45            -22.4    3.3735478e-06   -0.00045577888   -0.00018743775    0.00035932369   -0.00072268484     0.0017445489
              -75               45            -22.4     5.113204e-05   -0.00046410356   -0.00029406152      0.000578671   -0.00029630278     0.0027639135
              -45               45            -22.4    0.00014684105    -0.0003854674   -0.00051065598    0.00084378547   -0.00032019051     0.0034349631
              -15               45            -22.4    0.00014567889   -0.00021776646   -0.00073666254     0.0010547921   -0.00056017179     0.0038582222
               15               45            -22.4     3.918893e-05    2.0579158e-05   -0.00084331929     0.0011701616   -0.00070790999     0.0040425495
               45               45            -22.4   -7.6929718e-05    0.00025553617   -0.00074772153     0.0010316379   -0.00071485469     0.0038185176
               75               45            -22.4   -0.00010798705     0.0004393025   -0.00053002354    0.00086616608   -0.00063229713     0.0032719413
              105               45            -22.4   -0.00010006436    0.00049829809   -0.00037373457    0.00054355263   -0.00092112442     0.0022010368
             -105               75            -22.4    -6.679022e-05   -0.00029516889   -4.7273974e-05    0.00025262986   -0.00059220777      0.001255547
              -75               75            -22.4   -5.9776645e-05   -0.00030037036   -2.3272554e-05    0.00043313476   -0.00018048933     0.0019883197
              -45               75            -22.4   -1.0481288e-06   -0.00021395496   -6.6654829e-05    0.00053043634    -5.734642e-05     0.0024126018
              -15               75            -22.4    3.4682078e-05   -0.00010627442   -0.00013447454    0.00061352312   -6.8540547e-05     0.0026810851
               15               75            -22.4     2.956241e-05    1.6646243e-05   -0.00016799271    0.00065448892   -0.00012300495     0.0027878638
               45               75            -22.4    3.2653523e-05    0.00016007572   -0.00013907568    0.00071122963   -0.00016386282      0.002666445
               75               75            -22.4    4.1757288e-05     0.0002567468   -0.00012468769    0.00051386899   -0.00030572247      0.002249039
              105               75            -22.4    2.2600374e-05    0.00030985932    -0.0001296597    0.00036314855    -0.0006638919     0.0014963652
             -105              105            -22.4   -5.0376369e-05   -0.00015841774     1.594013e-05    0.00018087226   -0.00063544069    0.00086005183
              -75              105            -22.4   -5.2033865e-05    -0.0001487689    7.2253024e-05    0.00028367297   -0.00057384669     0.0012312634
              -45              105            -22.4   -2.4453433e-05   -0.00010950905    9.3441064e-05    0.00036363999   -0.00059787382     0.0014613096
              -15              105            -22.4    4.4169628e-06   -5.6809255e-05    8.0431681e-05    0.00042215467   -0.00062474707      0.001598622
               15              105            -22.4    2.1158867e-05    9.6119293e-06    6.8652589e-05    0.00044177717   -0.00062743051     0.0016374094
               45              105            -22.4    3.4519184e-05    7.7397839e-05    4.9082981e-05    0.00041378292   -0.00062308961     0.0015658498
               75              105            -22.4     5.130162e-05    0.00013908859    2.2921953e-05     0.0003508589   -0.00061661302     0.0013839479
              105              105            -22.4    4.5152989e-05    0.00017285717   -2.0803847e-05    0.00022561327   -0.00067035051    0.00099278323
