           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
             -105             -105            -22.4      -0.21509646       0.22828153       0.24151421      -0.14817356     -0.055915672     -0.033067159
              -75             -105            -22.4      -0.49885678       0.57568532       0.13558428       -0.1323586     0.0066986606     -0.027199956
              -45             -105            -22.4       -0.6340183       0.82262027      0.073026925     -0.084462836      0.014541934     -0.016382847
              -15             -105            -22.4      -0.68767774       0.95190567      0.022225164     -0.028826352     0.0071113389    -0.0043497137
               15             -105            -22.4      -0.68864489       0.95264155     -0.021180335      0.029213166    -0.0067724832     0.0054681627
               45             -105            -22.4       -0.6326443       0.82270765     -0.067995593      0.086221755     -0.015569862      0.015195953
               75             -105            -22.4      -0.49971807       0.57846028      -0.13233279       0.13319856     -0.010049216      0.026291715
              105             -105            -22.4      -0.21580482       0.22804338       -0.2394187       0.14760888      0.053617291      0.033970971
             -105              -75            -22.4      -0.10842994       0.19822742       0.51769745      -0.47659424     -0.093598858     -0.020871744
              -75              -75            -22.4      -0.25315151       0.49704832       0.29020405      -0.40567875     -0.030165555     -0.016103532
              -45              -75            -22.4      -0.32318529       0.71533883       0.14355402      -0.25939333     -0.011222769     -0.013270752
              -15              -75            -22.4      -0.34926116       0.82421106      0.044218399     -0.087405391    -0.0033435975    -0.0049876943
               15              -75            -22.4      -0.34517717       0.82693177     -0.042467784      0.087983795     0.0025762832     0.0036895082
               45              -75            -22.4      -0.32580924       0.71119505      -0.14715922        0.2588104      0.010072159       0.01116891
               75              -75            -22.4      -0.25675836       0.49742928      -0.29355559        0.4062407      0.027485006      0.015405374
              105              -75            -22.4        -0.104397       0.19875643      -0.51648581       0.47689581      0.090264626      0.021669501
             -105              -45            -22.4     -0.040357985       0.14603607        0.6393708       -0.7146368     -0.093507908      -0.02775008
              -75              -45            -22.4      -0.10253746       0.34668323        0.3546896       -0.6125741     -0.039988086     -0.016679343
              -45              -45            -22.4      -0.12680921       0.48973677       0.17341372      -0.38562408     -0.017368415     -0.010855639
              -15              -45            -22.4      -0.13014501       0.56311876      0.050774358      -0.13147897    -0.0038385463    -0.0029441342
               15              -45            -22.4      -0.13054538       0.56389618      -0.05045303        0.1316085     0.0041715922     0.0036117858
               45              -45            -22.4      -0.12498856       0.48962295      -0.17285001       0.38516957      0.014381045      0.010490186
               75              -45            -22.4      -0.10269857       0.34841615      -0.35763776       0.60683799      0.034178715      0.015626583
              105              -45            -22.4     -0.037845563       0.14672691      -0.63893914       0.71292877      0.091232046      0.023720518
             -105              -15            -22.4     0.0054317606      0.089388013       0.67881525      -0.83305305      -0.08001861     -0.029802011
              -75              -15            -22.4    0.00083899638       0.17789343       0.37468213      -0.70903927     -0.033924546     -0.015642988
              -45              -15            -22.4     0.0052738735       0.23729962       0.17742808      -0.45172966     -0.017376907     -0.011664893
              -15              -15            -22.4      0.011018974       0.26774091       0.05116782      -0.15323873    -0.0047205496    -0.0031174056
               15              -15            -22.4      0.010574356       0.26763561     -0.051026825       0.15351251     0.0052878838     0.0036834609
               45              -15            -22.4     0.0056926911       0.23683254      -0.17718755       0.45286435      0.017099308      0.012052628
               75              -15            -22.4    0.00020819271       0.17884576      -0.37340114       0.70633388      0.033454321      0.017576344
              105              -15            -22.4     0.0077985036      0.091575757      -0.67679894       0.83289522      0.081133574      0.033134263
             -105               15            -22.4       0.04669131      0.032460451       0.66228455      -0.83616036     -0.067379743       -0.0377043
              -75               15            -22.4      0.084657125     0.0086055771       0.36204442      -0.70520902     -0.034274813     -0.022435043
              -45               15            -22.4        0.1084708     -0.014353886       0.16952278      -0.45157564      -0.01970198     -0.013516841
              -15               15            -22.4       0.12038432     -0.027758023      0.048411243      -0.15270868    -0.0058021699    -0.0044540539
               15               15            -22.4       0.12016707     -0.028041491     -0.047946762       0.15336999     0.0062171253     0.0049725543
               45               15            -22.4       0.10808972     -0.014832022      -0.16802649        0.4533596      0.018493643      0.011708364
               75               15            -22.4      0.085138083      0.009551188      -0.36239302       0.70399439      0.034421325      0.021713298
              105               15            -22.4      0.047460422      0.033092581      -0.66389811        0.8311699       0.06621594      0.036917273
             -105               45            -22.4       0.08788915     -0.022371627       0.59629303       -0.7224102     -0.055820759     -0.042622525
              -75               45            -22.4       0.17643102      -0.14926352       0.32165727      -0.60709548     -0.034540221     -0.025466023
              -45               45            -22.4        0.2246739      -0.25153771       0.14990161      -0.38478962     -0.020073134     -0.014119815
              -15               45            -22.4       0.24436243      -0.30482203      0.042693753      -0.13072628    -0.0067271022    -0.0044257585
               15               45            -22.4       0.24285805      -0.30685037     -0.042168062       0.13157526     0.0068446076     0.0053822561
               45               45            -22.4       0.22358105       -0.2511341      -0.14948896       0.38642362      0.019724526      0.013234911
               75               45            -22.4       0.17893979      -0.15058534        -0.321289       0.60638541      0.036137883      0.025852034
              105               45            -22.4      0.087592006     -0.022975191      -0.59578973        0.7196362       0.05425078      0.039745022
             -105               75            -22.4       0.14655349     -0.067666002       0.45426488      -0.50022131     -0.055004373     -0.050477378
              -75               75            -22.4       0.30518711       -0.2839568       0.23619805      -0.41918033     -0.043619428     -0.028500099
              -45               75            -22.4       0.39017397       -0.4478077       0.11115829      -0.26452598     -0.025708413     -0.015952077
              -15               75            -22.4       0.42305681      -0.53387737      0.032238718     -0.089648522    -0.0084474413    -0.0052517271
               15               75            -22.4       0.42251423      -0.53767097     -0.032296233       0.08963529     0.0093968362     0.0068840743
               45               75            -22.4       0.38841841      -0.45427856      -0.11044019       0.26515219      0.026985809       0.01626485
               75               75            -22.4       0.30767411       -0.2821708      -0.23913674       0.41755038      0.041101411      0.027598534
              105               75            -22.4       0.14687636     -0.067448005      -0.45284149       0.50033975      0.052407529      0.046491977
             -105              105            -22.4       0.24704923      -0.07906583        0.1819088      -0.20373051     -0.090013824     -0.062535413
              -75              105            -22.4        0.5089463      -0.34304142      0.090084657      -0.16362005     -0.073623195     -0.036893357
              -45              105            -22.4       0.63680524      -0.54136288      0.042354312      -0.10219979     -0.050179139     -0.022433508
              -15              105            -22.4       0.68848598      -0.64009827      0.012794904     -0.033831611     -0.016674239    -0.0082921516
               15              105            -22.4       0.68879032      -0.63950634     -0.011395539       0.03479955      0.016526233      0.009259142
               45              105            -22.4       0.63680553      -0.54044038     -0.041512124        0.1026185      0.049659982      0.023864422
               75              105            -22.4       0.50997865      -0.34517303     -0.089526899       0.16295327      0.075798616      0.037930798
              105              105            -22.4       0.24741293     -0.078691117      -0.18113661       0.20307811      0.094434112      0.062214509
