           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
             -105             -105            -22.4      0.023287268    -0.0052000354     -0.023234457    -0.0026484749    8.1352729e-05    0.00075296336
              -75             -105            -22.4      0.062960088     -0.012499689     -0.017020142     0.0028037846      0.001158441    0.00030935204
              -45             -105            -22.4      0.090805434     -0.020000514     -0.010313786     0.0031063422     0.0014682885    2.4821038e-06
              -15             -105            -22.4       0.10631375     -0.023355367    -0.0037811717     0.0021190185     0.0013011161   -0.00037848612
               15             -105            -22.4       0.10913862     -0.021217003     0.0033132872     0.0014417871     0.0011556261   -0.00016619067
               45             -105            -22.4      0.097555757     -0.015879165      0.011091329     0.0022375172    0.00094134634   -0.00026933363
               75             -105            -22.4      0.070998318     -0.010598594       0.02066935     0.0066038975     0.0014694966   -0.00070673093
              105             -105            -22.4      0.026518483    -0.0096454583      0.032505564      0.018528707     0.0050583496   -0.00014596619
             -105              -75            -22.4      0.017225031    -0.0089861937     -0.063052639     0.0034516456    -0.0010958973    0.00064713578
              -75              -75            -22.4      0.046936523     -0.020607073     -0.046916641      0.011894526   -8.2090512e-05    0.00026173043
              -45              -75            -22.4      0.067687578     -0.029134691     -0.028595828     0.0093936343    0.00021634885    0.00024524253
              -15              -75            -22.4      0.076645635     -0.031546369    -0.0092656724     0.0030424243    0.00032682766    3.8745391e-05
               15              -75            -22.4      0.073676214     -0.029237222      0.010147145     -0.001404146     0.0004694697   -0.00028050621
               45              -75            -22.4      0.060767282     -0.022816146      0.030771853   -0.00061070523    0.00077248801   -0.00065137993
               75              -75            -22.4       0.04049398     -0.017071474      0.054318938     0.0070126522     0.0029877929   -0.00027653421
              105              -75            -22.4       0.01467413     -0.011883583      0.082245342      0.026927957     0.0092335967      0.001676156
             -105              -45            -22.4      0.011240371    -0.0090406463     -0.091979459      0.011202423    -0.0017418482     0.0011046077
              -75              -45            -22.4       0.02990073     -0.018015116     -0.068186767      0.020180261   -0.00066908158    0.00067455182
              -45              -45            -22.4       0.03970534     -0.022939097     -0.037987251      0.012735662   -0.00015807957    0.00033692596
              -15              -45            -22.4      0.035278678     -0.022904333     -0.005692278     0.0020281961    -0.0002116965   -0.00021658973
               15              -45            -22.4      0.018361483     -0.019927144      0.024599697    -0.0049272124    7.1489776e-05   -0.00024547195
               45              -45            -22.4    -0.0028465053     -0.016817261      0.048578359    -0.0035387874     0.0016479435   -0.00036837903
               75              -45            -22.4     -0.013077333     -0.015299745      0.072069243     0.0079849102     0.0060766852    0.00054722821
              105              -45            -22.4    -0.0070698797     -0.012864586       0.10709472      0.035918757      0.018282261     0.0064089131
             -105              -15            -22.4     0.0050450191    -0.0083102621      -0.10929146       0.01495416    -0.0016990725    0.00067580846
              -75              -15            -22.4      0.011507756     -0.013211112      -0.07732746      0.022639699   -0.00085784058    0.00012016958
