           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
             -105             -105            -22.4      -0.88512468        -0.310853        1.0976807       0.45809883       0.11426816      0.035005491
              -75             -105            -22.4       -3.5872369       -1.5232586        1.7618463       0.87198913       0.14187306     -0.043960225
              -45             -105            -22.4       -6.7120042         -3.03601       0.16475095      0.031635217      0.069998145      0.047850475
              -15             -105            -22.4        -3.867811       -1.4408436       -1.6763961      -0.94972003       -0.1287211      0.052691866
               15             -105            -22.4       -1.4766043      -0.17817028      -0.86181349      -0.40720847      -0.13455333     -0.064068168
               45             -105            -22.4      -0.54882693       0.12122419      -0.36726746      -0.10259724     -0.068652362      -0.03979896
               75             -105            -22.4      -0.16589308       0.12492246      -0.14732023    -0.0087683462     -0.032067623     -0.019699693
              105             -105            -22.4     -0.024995364      0.055703025     -0.058503427     0.0051670754     -0.014486256    -0.0074120602
             -105              -75            -22.4      -0.25522441     -0.035365023        2.5119455       0.94478172      0.035083804     -0.051944092
              -75              -75            -22.4      -0.74165839     -0.097081147        4.6814404        2.6142521      0.061969321      -0.47932452
              -45              -75            -22.4       -1.0331419        1.2973312       0.12856209     -0.080443904      0.024294991       0.13057257
              -15              -75            -22.4      -0.92890251      -0.13812315       -4.2062373       -2.6487474     -0.010416521       0.52768874
               15              -75            -22.4      -0.56743991       0.11345394       -1.9371102      -0.85478222     -0.036576722      0.048710488
               45              -75            -22.4       -0.2814877       0.15376158      -0.84159458      -0.16778544    -0.0090870131      0.006859188
               75              -75            -22.4       -0.1064992       0.11298491      -0.35778594      0.032241322    -0.0085236365    -0.0012331076
              105              -75            -22.4     -0.024375793      0.045234602      -0.14663999      0.066828616    -0.0050306027   -0.00011698395
             -105              -45            -22.4       0.39983523       0.25055701        2.2169161        0.6244238      0.044801921      -0.02696575
              -75              -45            -22.4        2.0493653        1.4558753        2.7034955        1.3087289      0.094381213      -0.11941154
              -45              -45            -22.4        4.0926042        3.4427459       0.15651992      -0.09223523     -0.030712616     -0.056652483
              -15              -45            -22.4        2.0625608        1.5020239        -2.355233       -1.5670167     -0.014130922       0.18100362
               15              -45            -22.4       0.53124517       0.39714396       -1.5996963       -0.6068275    -0.0033014158      0.040822845
               45              -45            -22.4       0.13312191       0.15648171      -0.83400726     -0.078477092    -0.0061814883     0.0055695232
               75              -45            -22.4      0.031815793      0.076774381      -0.39819014      0.091333397    -0.0033700629     0.0014909125
              105              -45            -22.4     0.0083057927      0.028777855       -0.1762017       0.11775136    -0.0026097654   -3.7685386e-06
             -105              -15            -22.4       0.43716809       0.19501901        1.2527795      0.095754802      0.037349295      0.015390353
              -75              -15            -22.4         1.420688       0.68400216        1.1063032       0.15577643      0.017759588     -0.010434548
              -45              -15            -22.4        2.0400786        1.0707015       0.14098647       -0.1395018     -0.004039913    -0.0020081622
              -15              -15            -22.4        1.5361778       0.68602031      -0.80665022      -0.41065568     0.0051174378      0.021717872
               15              -15            -22.4       0.76577979       0.24810824      -0.86542463      -0.18951546     0.0023510875      0.011403931
               45              -15            -22.4       0.32118034      0.068842851        -0.576464      0.037375424    -0.0047781346     0.0029071402
               75              -15            -22.4       0.11859011      0.021417681      -0.30693695       0.12723169   -0.00095862569    0.00054852798
              105              -15            -22.4      0.029864211     0.0096644741      -0.14060733       0.13742478    -0.0033791948    0.00018734291
             -105               15            -22.4       0.27295342      0.067271821       0.58018315      -0.12278081      0.028118052      0.016073735
              -75               15            -22.4       0.76254976        0.1712822       0.47691622       -0.1076691     0.0062288744    -0.0024729879
              -45               15            -22.4        1.0236986       0.21979263      0.096463516      -0.11663222     0.0020109406   -0.00052398123
              -15               15            -22.4       0.89206582       0.13162972      -0.28423479     -0.098746687     0.0017304368      0.000560063
               15               15            -22.4       0.57028323      0.019020882      -0.40189004     -0.007095729     3.066098e-05     0.0030584466
               45               15            -22.4       0.29457688     -0.029185068      -0.31506819      0.088725559    0.00051795918   -0.00061355007
               75               15            -22.4       0.12432885     -0.025899738      -0.18011096       0.12621409    -0.0008822697    0.00056709198
              105               15            -22.4      0.034377113     -0.005499112     -0.078175537       0.12516046    -0.0027367349    -0.0010739316
             -105               45            -22.4       0.13994767     0.0050702803       0.22022383      -0.14184213      0.015794175      0.010448612
              -75               45            -22.4        0.3779982     -0.014372342       0.18757784      -0.12946163     0.0044649374    0.00087361294
              -45               45            -22.4       0.50286418     -0.042646527       0.04384625     -0.089115277    4.2848456e-05   -0.00074612279
              -15               45            -22.4       0.46471938     -0.075857595      -0.10653366     -0.031742435   -0.00038312649    0.00030877409
               15               45            -22.4       0.32994133     -0.094828889      -0.16904196      0.033212513    2.2442731e-05    0.00044084209
               45               45            -22.4       0.18787982     -0.081775181      -0.14475681      0.079568259    0.00074513734   -0.00058407773
               75               45            -22.4      0.085849077     -0.050512284     -0.081853509      0.096791476   -0.00077652722    0.00043910224
              105               45            -22.4      0.024932344     -0.013253095     -0.022945382      0.092713051    -0.0025747402    -0.0014720639
             -105               75            -22.4      0.061792225     -0.012361158       0.06113591      -0.09345749     0.0081221359     0.0039434908
              -75               75            -22.4       0.16662717     -0.061555345      0.060148027     -0.085734382       0.00360387    0.00023608394
              -45               75            -22.4       0.21842892      -0.10183574       0.01339888     -0.055013794    0.00042297982   -8.8749563e-05
              -15               75            -22.4       0.20703389      -0.12266879     -0.039692983       -0.0141505    0.00034239175   -1.5076371e-05
