           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
             -105             -105            -22.4     -0.038171452      0.051110078      0.032728247     -0.058146723   -0.00012937636    -0.0001549631
              -75             -105            -22.4      -0.12050238        0.1725017      0.047103345      -0.06158556     0.0026365537     0.0028167856
              -45             -105            -22.4      -0.21885964       0.28339025       0.05133478     -0.046531815     0.0024327138     0.0034961924
              -15             -105            -22.4      -0.30531341       0.35431245      0.034995001     -0.020205464     0.0012227806     0.0025767179
               15             -105            -22.4      -0.34035882       0.36347035    -0.0010598721      0.014448809   -0.00010850075    -0.0008757491
               45             -105            -22.4      -0.29415452       0.30396903     -0.036396086      0.047765464    -0.0010609616    -0.0034472207
               75             -105            -22.4      -0.19074008       0.19175063     -0.057676073      0.070219412    -0.0017312013    -0.0037597194
              105             -105            -22.4     -0.065682292      0.054760523     -0.050469149       0.07110896     0.0024064719    0.00054170622
             -105              -75            -22.4     -0.066453353      0.058546837       0.12584594      -0.18326384    -0.0034946897    -0.0028788324
              -75              -75            -22.4      -0.21203265       0.18641077       0.16983581       -0.1889641   -0.00039181375   -0.00012733269
              -45              -75            -22.4      -0.38471204       0.29542774       0.18480986      -0.14377177    0.00086782232    -0.0010161273
              -15              -75            -22.4       -0.5533163       0.35296926       0.13044719     -0.057533558     0.0011814015   -0.00092640135
               15              -75            -22.4      -0.62121797       0.35966715    -0.0048437123      0.041368343    0.00044392509   -0.00024460052
               45              -75            -22.4      -0.53356957       0.30178323      -0.14832306       0.13602254    -0.0022101796   -0.00090102537
               75              -75            -22.4       -0.3415933       0.19692358      -0.21732028       0.20516567     0.0015649584    -0.0010839108
              105              -75            -22.4      -0.11497939       0.06288857      -0.20791787       0.21547435     0.0073763682     0.0045520444
             -105              -45            -22.4     -0.099348135      0.046823081       0.27964047      -0.30508086    -0.0045569777    -0.0062088929
              -75              -45            -22.4      -0.33416209       0.14241837       0.38068953      -0.30429521    -0.0023024098      -0.00463431
              -45              -45            -22.4      -0.65946418       0.19409992       0.45465004      -0.20209505   -0.00023753619    -0.0022111677
              -15              -45            -22.4       -1.0423908       0.17107105       0.34683418     -0.059785858    -0.0032610765    -0.0010107006
               15              -45            -22.4       -1.2322646       0.12152912     -0.018390754      0.064595953    -0.0021684635    -0.0017018879
               45              -45            -22.4       -1.0198014       0.12748288      -0.39108005       0.18439502      0.002434256    0.00051589805
               75              -45            -22.4      -0.59894717       0.11499894       -0.5269537       0.30780965     0.0046679159     0.0019950732
              105              -45            -22.4      -0.19192883      0.039628204      -0.48864996       0.34346578      0.010807713     0.0077951038
             -105              -15            -22.4      -0.11157857      0.015291286       0.49183714      -0.38277149    -0.0039614616     -0.003575735
              -75              -15            -22.4      -0.41064373      0.033817176       0.71753943      -0.34045976    -0.0052736993     0.0004782977
              -45              -15            -22.4      -0.95858335      -0.06956777       0.98926461        -0.132816   -0.00020520351     -0.010661346
              -15              -15            -22.4       -1.8095646      -0.37964877       0.93603384       0.13231692    -0.0086185373     -0.013751606
               15              -15            -22.4       -2.4131386      -0.67599493     -0.022912191      0.087841123      0.000763583    -0.0027980851
               45              -15            -22.4       -1.7925845      -0.40530217      -0.97322786      0.051908307      0.022593111      0.026985109
               75              -15            -22.4      -0.87729347      -0.10533007       -1.1184916       0.26252511     0.0064594178     0.0073254569
              105              -15            -22.4       -0.2449618     -0.015590257      -0.92277694       0.39214426      0.010834195      0.013698378
             -105               15            -22.4     -0.071353756      -0.02606711        0.6828559      -0.38860923    -0.0019677938    -0.0029417684
              -75               15            -22.4      -0.29187357      -0.10741197        1.0983526      -0.26482242    -0.0053407913    -0.0068380265
              -45               15            -22.4      -0.86677891      -0.39650249        1.8825524       0.23723814    -0.0035532259     -0.040261198
              -15               15            -22.4       -2.5414064       -1.3869176        2.6238937        1.0261295    -0.0076354286      -0.13766867
               15               15            -22.4       -4.6211491        -2.478008     -0.089538351      0.053275131      -0.03252564     -0.014436032
               45               15            -22.4       -2.5304587       -1.3751321       -2.6184285      -0.79309309      0.055449329       0.17068107
               75               15            -22.4      -0.79430729      -0.36973912       -2.0254469     -0.084737048     0.0070556477      0.029369675
              105               15            -22.4      -0.18403009     -0.075623408       -1.3877982       0.30501458     0.0076018693      0.012680541
             -105               45            -22.4       0.03155347     -0.061947908       0.73049188      -0.31320599    6.7314002e-05     0.0012554104
              -75               45            -22.4      0.095761925      -0.18752843        1.2434108      -0.13216934    -0.0021695686    -0.0086123692
              -45               45            -22.4       0.17743339      -0.33916813        2.3773136       0.63707179      0.003665166     -0.055787202
              -15               45            -22.4       0.27084294      -0.52688146        4.6633573        2.6036413      0.006091224      -0.52480882
               15               45            -22.4       0.15332964       0.71329236     -0.059458189       0.10671636    -0.0038798891      0.087830342
               45               45            -22.4       0.17237647      -0.53523451        -4.939239       -2.5644958       0.10546145       0.69857037
               75               45            -22.4       0.16924189      -0.25552651       -2.5662925      -0.50481123     -0.007861943      0.059955433
              105               45            -22.4       0.05444099     -0.081411466       -1.5692846       0.14584865     0.0074398564     0.0083987806
             -105               75            -22.4       0.13362773     -0.084067017       0.54002798       -0.1840609   -0.00035424216     0.0001016187
