           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
             -105             -105            -22.4      -0.63071668       -0.4210245       0.22256516      0.022620926      -0.46402961      -0.33534992
              -75             -105            -22.4      -0.88587576      -0.44636151      -0.16006702      -0.16293272      -0.17081136     -0.077346429
              -45             -105            -22.4      -0.46420938       -0.1605687      -0.23806731       -0.1481214     -0.076766856     -0.030019548
              -15             -105            -22.4      -0.13299751    -0.0087674772       -0.1390077     -0.065007262     -0.039808463     -0.014726919
               15             -105            -22.4      0.024562728      0.028153265     -0.060763922     -0.025122387     -0.023047891    -0.0084476201
               45             -105            -22.4      0.072327897      0.027317883     -0.017488096      -0.01280453     -0.012894833    -0.0032078272
               75             -105            -22.4      0.067289665      0.021913609     0.0067850016     -0.010325804    -0.0072544306   -0.00066504563
              105             -105            -22.4       0.02926296      0.015706606      0.021701105    -0.0076257158    -0.0034928634    0.00073443045
             -105              -75            -22.4       -2.3400378        -1.391744        1.5750365       0.78850794      -0.94530916      -0.81648964
              -75              -75            -22.4       -1.6319393        -1.025259       -1.1065539      -0.81868452      -0.15397619      0.017647954
              -45              -75            -22.4      -0.54781371      -0.28048193       -0.8176769      -0.47828478     -0.034161851      0.017517198
              -15              -75            -22.4      -0.14303435     -0.045670819      -0.40044293      -0.16722864     -0.016679838    0.00099044479
               15              -75            -22.4    -0.0055994857   -0.00030501437      -0.16696593     -0.047191612    -0.0076494846    1.4911733e-05
               45              -75            -22.4      0.040375829     0.0058119735     -0.044314113     -0.017790303    -0.0029476492     0.0005388899
               75              -75            -22.4      0.041133359     0.0060916697      0.020418199     -0.014294598    -0.0021532115    0.00070708385
              105              -75            -22.4       0.01775329     0.0056428509      0.058453199    -0.0078055947    -0.0008704075    0.00097572041
             -105              -45            -22.4    -0.0026695132        1.5136621        3.8272309        2.5311842      0.049575973      -0.52767599
              -75              -45            -22.4      -0.07990288      -0.13836533       -2.6478701       -2.0280936      0.045950502       0.53295267
              -45              -45            -22.4     0.0052284393     -0.068463624       -1.2563428      -0.81675237    -0.0062509263      0.063732937
              -15              -45            -22.4      0.011507044     -0.020194013      -0.54642177      -0.23852603      -0.00156828     0.0095580332
               15              -45            -22.4      0.028826656    -0.0055002514      -0.21553013     -0.061072834    -0.0006970645     0.0016946446
               45              -45            -22.4      0.031604167    -0.0032174191     -0.054696117     -0.021291427    -0.0011565925     0.0006058627
               75              -45            -22.4      0.024649756   -0.00090371759      0.031070175     -0.018579772   -0.00072110066    0.00056277355
              105              -45            -22.4     0.0099535389     0.0016475974      0.080735333     -0.011252997   -0.00047788411    0.00062290113
             -105              -15            -22.4        2.2241855        2.2224953         1.485384        1.0000155       0.80364335       0.36834267
              -75              -15            -22.4        1.6162059        1.1436753       -1.0427736       -1.0812842       0.14013138       0.21987012
              -45              -15            -22.4       0.52960598       0.23569927       -0.8594501      -0.58829182      0.018134177       0.03806778
              -15              -15            -22.4       0.18206476      0.038837738       -0.4360593      -0.19311553     0.0065810932     0.0069134403
               15              -15            -22.4      0.067465074   -0.00091293798      -0.18622099     -0.056042127    0.00087277131     0.0010499869
               45              -15            -22.4      0.028594678    -0.0053150482     -0.043177307     -0.023796979     -0.000621557    0.00023018991
               75              -15            -22.4      0.012758749    -0.0027149615      0.041455057     -0.022900812   -0.00021518838    0.00039742433
              105              -15            -22.4     0.0041294447    7.6134274e-05      0.091855049     -0.015688745    -0.0008305143   -0.00011967449
             -105               15            -22.4       0.54795498       0.45960176       0.27722618       0.10689136       0.40047511       0.26622298
              -75               15            -22.4       0.77681512       0.49419537      -0.19091468      -0.25712094       0.10319853      0.056516904
              -45               15            -22.4       0.44003975       0.18709353      -0.34197837      -0.23353235       0.01670211     0.0076362267
              -15               15            -22.4       0.18591551      0.043207351      -0.24363308      -0.10716738     0.0075925752     0.0030745028
               15               15            -22.4      0.062576741      0.003261494      -0.11337005     -0.039927192    0.00062789809    0.00019841979
               45               15            -22.4      0.015259081     -0.001813808     -0.017052662     -0.024245586     0.0003206798   -0.00012740835
               75               15            -22.4   -0.00082689198    -0.0009535437      0.049907241     -0.025249131   -0.00025971472   -3.3788892e-05
              105               15            -22.4    -0.0014738322   -6.5317923e-05       0.09325254     -0.017727984    -0.0011036791   -0.00023194471
             -105               45            -22.4        0.1391433       0.11088289     -0.027912891     -0.073535174       0.14181775      0.090344921
              -75               45            -22.4       0.26404539       0.14597867      -0.06446293     -0.091529839      0.048720039      0.018831067
              -45               45            -22.4       0.19815536      0.078619696      -0.12030787     -0.085540548      0.016266078     0.0039612618
              -15               45            -22.4      0.086939633       0.02584392      -0.10115444     -0.049096849     0.0043765847    0.00023282008
               15               45            -22.4      0.016782679     0.0081162248     -0.047520913     -0.026078723     0.0012872715   -0.00047767916
               45               45            -22.4     -0.014272365      0.004531946     0.0063837301     -0.022130117     0.0003896475   -0.00034711414
               75               45            -22.4     -0.018966217     0.0025990503      0.050336204     -0.024291813   -0.00027403139   -0.00042914727
              105               45            -22.4    -0.0079447748    0.00024366955      0.083694436     -0.016674343    -0.0013409682    -0.0003252874
             -105               75            -22.4      0.022196246      0.038952872     -0.072609849     -0.075676695      0.050087027      0.027823273
              -75               75            -22.4      0.049672876      0.048405789     -0.043511394     -0.050995678      0.024524044     0.0071430663
              -45               75            -22.4      0.026411586      0.031715084     -0.044236131     -0.038660131       0.00731795    -3.997334e-05
              -15               75            -22.4     -0.013851071      0.017358899     -0.035464272     -0.025685025     0.0024061103    -0.0010819611
               15               75            -22.4     -0.043301381      0.011421687     -0.012825706     -0.018017387    0.00097997882   -0.00091161329
               45               75            -22.4     -0.051761862     0.0089124404      0.013694208     -0.017655399      0.001103598   -0.00058089563
               75               75            -22.4     -0.040703721     0.0041489503      0.038399301     -0.018792162    0.00014907544   -0.00053902582
              105               75            -22.4     -0.016042462   -0.00073723897      0.060540698     -0.011835729     -0.001048582   -0.00061674014
             -105              105            -22.4      -0.02165382      0.023669075     -0.036353596     -0.046116196      0.021259217     0.0086250426
              -75              105            -22.4     -0.050567813      0.014963048     -0.018335227     -0.026701689     0.0096098678     0.0010816071
              -45              105            -22.4       -0.0704697     0.0071922154     -0.012540809     -0.018701494     0.0051285438    -0.0003195873
              -15              105            -22.4     -0.086235031     0.0033315867    -0.0080964472     -0.013692084     0.0035914816    -0.0008076505
               15              105            -22.4     -0.092956506     0.0020624492    -0.0011923984     -0.010778721      0.002914553   -0.00091765274
               45              105            -22.4     -0.085375726      0.000269387     0.0065869158     -0.010165538     0.0024509847   -0.00094240019
               75              105            -22.4     -0.062450752    -0.0038997703      0.014599907    -0.0098465309     0.0015860463     -0.001115046
              105              105            -22.4     -0.024551358    -0.0070380275      0.022969875     -0.006716155    0.00021254546    -0.0014885524
