           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
             -105             -105            -22.4     0.0020864354    0.00081193633      0.034977511     -0.030399797     -0.011827189      0.019250268
              -75             -105            -22.4    -0.0095000686      0.011495517      0.021447875     -0.021858346     -0.012427635      0.014863606
              -45             -105            -22.4    -0.0066287406     0.0071526882     0.0073274574    -0.0069428184     -0.008569831      0.010709067
              -15             -105            -22.4    -0.0032746252     0.0037021562     0.0023646171    -0.0025400424    -0.0042534797     0.0065772519
               15             -105            -22.4    -0.0015100816     0.0018743306    0.00068467989    -0.0011205577    -0.0021420517     0.0040077446
               45             -105            -22.4   -0.00066870387     0.0010408389    0.00011671646   -0.00063000811    -0.0012045851     0.0024839989
               75             -105            -22.4   -0.00024544337    0.00060502056   -4.5670015e-05   -0.00036511631   -0.00082201732     0.0015596228
              105             -105            -22.4   -7.9222955e-05    0.00038039894   -5.9580794e-05   -0.00019381737   -0.00078426488    0.00096638268
             -105              -75            -22.4     0.0074627767      0.010725586         0.191938      -0.22549091      0.051832978     -0.054100826
              -75              -75            -22.4      -0.05377426      0.069994025      0.059142791     -0.068404675     -0.016327979     0.0030905348
              -45              -75            -22.4     -0.019005254       0.02329994      0.010657703     -0.011042492      -0.01528899      0.011311467
              -15              -75            -22.4    -0.0059418092     0.0071735764     0.0020475728    -0.0022189282     -0.007011971      0.008134746
               15              -75            -22.4    -0.0021537128     0.0030422045    0.00042909544   -0.00079788367    -0.0025376282     0.0055334996
               45              -75            -22.4   -0.00078510895     0.0014217816   -7.2098219e-06   -0.00037900271   -0.00082339079     0.0036086291
               75              -75            -22.4   -0.00020027175    0.00083301507   -0.00011382541    -0.0002305409   -0.00039395966     0.0023542433
              105              -75            -22.4    1.0960648e-05    0.00052132929   -9.0161484e-05   -0.00012333575   -0.00071427348     0.0013468845
             -105              -45            -22.4      0.016584335      0.015516175      0.044867005     -0.051331088       0.70646477      -0.86847556
              -75              -45            -22.4      -0.16668049       0.21334255      0.004754378    -0.0053154421      0.053449519     -0.093205169
              -45              -45            -22.4     -0.032516561      0.037900992   -0.00046901288     0.0010442933     -0.018401308      0.011058222
              -15              -45            -22.4    -0.0078800935     0.0092644375   -9.0938898e-05    0.00013580846    -0.0085094636     0.0087710125
               15              -45            -22.4    -0.0025026398     0.0032561226   -0.00016181453    5.0603325e-05    -0.0027342925      0.005924887
               45              -45            -22.4   -0.00084252295     0.0015180552   -0.00015979071   -1.2229462e-05   -0.00055463653      0.003973634
               75              -45            -22.4   -0.00014736729     0.0009053821   -0.00013104356   -3.0160365e-05   -0.00011583435     0.0026352943
              105              -45            -22.4    7.0138471e-05    0.00057192083   -8.4908534e-05   -1.4690841e-05   -0.00070003571     0.0014677271
             -105              -15            -22.4     0.0033351537      0.013375182      -0.18053904       0.20749116      0.059616778     -0.062363248
              -75              -15            -22.4     -0.052211575       0.06730479     -0.058633678      0.066963084     -0.012119462    -0.0035585014
              -45              -15            -22.4     -0.018715939      0.021677056     -0.010439459      0.010966899     -0.015570187      0.010602209
              -15              -15            -22.4    -0.0057231751     0.0067312624     -0.002293271     0.0024812846    -0.0068852426     0.0082061607
               15              -15            -22.4    -0.0020797187     0.0026285641   -0.00069235329    0.00077133795    -0.0021345392      0.005680562
               45              -15            -22.4   -0.00069233857     0.0014117485   -0.00026819849    0.00034576666   -0.00023295319     0.0039114747
               75              -15            -22.4   -6.5443186e-05     0.0008335922   -0.00012176255    0.00016026871    5.5980199e-05     0.0026038566
              105              -15            -22.4    0.00012719953    0.00054462499   -6.6708577e-05    7.4125339e-05   -0.00067308842     0.0014609437
             -105               15            -22.4     0.0024892737     0.0026143293     -0.032506529      0.028821053     -0.011249527      0.016940638
              -75               15            -22.4      -0.00814931      0.011059902     -0.019541819      0.020084256     -0.013221363      0.012403671
              -45               15            -22.4    -0.0061395452     0.0073785074    -0.0070015462      0.007529302    -0.0087365573     0.0092363413
