           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
             -105             -105            -22.4     0.0010433982   -0.00096811872   -7.1810282e-05   -0.00028956099    -0.0015660216     0.0023794083
              -75             -105            -22.4     0.0026776209    -0.0022650352    0.00013352434   -0.00022304493    -0.0026324342     0.0044525922
              -45             -105            -22.4     0.0081745889    -0.0066610342    0.00081247016    0.00018780553    -0.0057593375     0.0087725576
              -15             -105            -22.4      0.033611894     -0.030800171      0.003238525     0.0023792956     -0.011464208      0.017678164
               15             -105            -22.4       0.16668516      -0.19231276       0.01144137     0.0060412944       0.04760363     -0.048189651
               45             -105            -22.4     -0.068954274      0.073897727      -0.01616263      0.045194197       0.65325624      -0.80735981
               75             -105            -22.4      -0.16927293       0.19650766     0.0084523195     0.0098384004      0.042411525      -0.04148085
              105             -105            -22.4     -0.033592407      0.029404128     0.0022921921      0.001021293     -0.010877706      0.018196588
             -105              -75            -22.4    0.00076688197    -0.0012057245   -0.00029035454    1.1026559e-05    -0.0014318764     0.0027841204
              -75              -75            -22.4     0.0020754789    -0.0027488901   -0.00055153196    0.00062329473     -0.002197057     0.0049920464
              -45              -75            -22.4      0.005864149    -0.0063812979    -0.0015900293     0.0024927813    -0.0056484453     0.0082346238
              -15              -75            -22.4      0.019255077     -0.020299789    -0.0081711803      0.011881773     -0.013439232      0.011820075
               15              -75            -22.4      0.057516921     -0.066673711      -0.05264321       0.06847845     -0.012391705    -0.0063007083
               45              -75            -22.4     0.0077665187     -0.008505309      -0.15610355       0.19378594      0.042009875     -0.078655437
               75              -75            -22.4     -0.057891019      0.063657589     -0.053815279      0.067231074     -0.011602561    -0.0042013568
              105              -75            -22.4     -0.019397171      0.019103847    -0.0086924033      0.010475964     -0.011078586       0.01358685
             -105              -45            -22.4    0.00044307372    -0.0010310535   -0.00033543792    0.00023049432    -0.0012417398     0.0026008931
              -75              -45            -22.4     0.0011881992    -0.0019689109   -0.00070491998    0.00085072132    -0.0015689124     0.0045106201
              -45              -45            -22.4     0.0030933935    -0.0037311031    -0.0019037466     0.0026190376    -0.0039378777     0.0065414133
              -15              -45            -22.4     0.0066125961    -0.0070966855     -0.006024491     0.0076147388    -0.0091009336     0.0086930143
               15              -45            -22.4     0.0097731147     -0.010003049     -0.017743334      0.020615183     -0.015555758     0.0090046218
               45              -45            -22.4   -0.00036206015   -6.3473679e-05     -0.030593295      0.032342657     -0.017339122     0.0079117632
               75              -45            -22.4    -0.0096679535     0.0091169523     -0.017487111      0.019942403     -0.015338945     0.0095412908
              105              -45            -22.4    -0.0068652839     0.0063037975    -0.0061770608     0.0068608993    -0.0078085097      0.010046435
             -105              -15            -22.4    0.00015574149   -0.00075202185    -0.0002791849    0.00029152579    -0.0010113795     0.0021743728
              -75              -15            -22.4    0.00050236849    -0.0011979737   -0.00055577105    0.00077723979   -0.00078894745     0.0036634589
              -45              -15            -22.4     0.0012091423    -0.0015412223      -0.00129342     0.0015587967    -0.0018879422     0.0050649103
              -15              -15            -22.4     0.0020352167    -0.0022193983    -0.0029263077     0.0035052623    -0.0042557013     0.0063761221
               15              -15            -22.4     0.0019907162     -0.001885463    -0.0055093095     0.0059540737    -0.0071233134     0.0070492569
               45              -15            -22.4   -6.4207161e-05   -8.4328443e-05    -0.0069655823     0.0071520088    -0.0087576248     0.0077653164
               75              -15            -22.4    -0.0019717836     0.0017814911    -0.0054602395      0.006041185    -0.0070288661     0.0072628809
              105              -15            -22.4    -0.0021990251      0.001908602    -0.0029398135     0.0030778772    -0.0042524822     0.0067140958
