           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
             -105             -105            -22.4      0.013156999    -0.0089390883      0.022854662     -0.018113149     -0.010467657      0.018301677
              -75             -105            -22.4     0.0022018261   -2.4544028e-05      0.038742658     -0.032255635     -0.014910683      0.016127955
              -45             -105            -22.4     -0.010458549      0.009545668      0.025116639     -0.017488191     -0.015511724       0.01572125
              -15             -105            -22.4    -0.0081089223     0.0065401332       0.01042282    -0.0057188128    -0.0082007423      0.011433489
               15             -105            -22.4    -0.0045050522     0.0030068459     0.0043547312    -0.0018155891    -0.0032051629     0.0076008211
               45             -105            -22.4    -0.0024174401     0.0014772395     0.0019231966   -0.00088109996   -0.00091379188     0.0047734459
               75             -105            -22.4    -0.0013058031    0.00079023483    0.00085219555   -0.00049824064   -7.3420451e-06     0.0029046014
              105             -105            -22.4   -0.00072171551    0.00047919055    0.00033030106   -0.00026338495     0.0001567908      0.001726773
             -105              -75            -22.4      0.066595979     -0.062728636      0.060953308     -0.064105086     -0.018760821      0.013381646
              -75              -75            -22.4   -0.00082435971     0.0058162706       0.16017388      -0.18612082      0.025959263      -0.08423394
              -45              -75            -22.4     -0.056652825      0.063557655       0.06318561       -0.0659234     -0.029710429    -0.0096874498
              -15              -75            -22.4     -0.021944489      0.019542348      0.012656899    -0.0086919954     -0.024697915       0.01039759
               15              -75            -22.4    -0.0082350345     0.0060700155     0.0039969399    -0.0018105296     -0.011102271     0.0091909077
               45              -75            -22.4    -0.0037585814     0.0021102899     0.0016154186   -0.00055528444    -0.0041527771     0.0065652719
               75              -75            -22.4    -0.0019198926     0.0011351884    0.00068897213    -0.0003330505    -0.0010762954     0.0042350511
              105              -75            -22.4   -0.00099609722    0.00069862627    0.00024894523   -0.00017972873    0.00013574176     0.0023232873
             -105              -45            -22.4       0.18004319      -0.19877061     0.0072159683    -0.0059593427      0.038391165     -0.060058907
              -75              -45            -22.4     -0.012682123      0.021210708      0.019635404     -0.023518529       0.52832419      -0.76553363
              -45              -45            -22.4      -0.16043638       0.19177286     0.0016595456     0.0012252221      0.021647496     -0.095896937
              -15              -45            -22.4     -0.036728669      0.033311326     0.0011478056   -0.00012644858     -0.031519081     0.0090257134
               15              -45            -22.4     -0.010476791     0.0068518762    0.00051063858    0.00012925382     -0.015197093      0.010074045
               45              -45            -22.4    -0.0044987579     0.0022611236     0.0004029556   -7.9077981e-06    -0.0058350805     0.0075700702
               75              -45            -22.4    -0.0022679127      0.001232181    0.00021371688   -6.6982233e-05    -0.0016330964     0.0049863989
              105              -45            -22.4    -0.0011743936    0.00078461069    6.7771412e-05   -3.8253274e-05     8.926991e-05     0.0025873042
             -105              -15            -22.4      0.064570218     -0.058806207     -0.057962216      0.059646633     -0.014267677     0.0074025812
              -75              -15            -22.4     0.0075078565    0.00026765582      -0.15578766       0.17957343      0.016621187     -0.078237757
