           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
             -105             -105            -22.4      -0.24117976      -0.16128808       0.62175971       0.54056555       0.46546003       0.21064277
              -75             -105            -22.4       -1.7693838       -1.2551905        2.3143613        1.8717452       0.89920944      -0.11190545
              -45             -105            -22.4       -3.6174972      -0.58891511      -0.19116208      -0.10115342      0.070670821      -0.21843168
              -15             -105            -22.4       -1.6026546       -1.1195515        -2.252198       -1.8205394      -0.96280628    -0.0049494095
               15             -105            -22.4      -0.30307463      -0.17141332      -0.57231265      -0.47020563      -0.42144504      -0.19799799
               45             -105            -22.4     0.0025523098      0.041701443      -0.16166544      -0.12954935      -0.14992017     -0.079908594
               75             -105            -22.4      0.063809492      0.063534468     -0.032900501     -0.046053935     -0.052622609     -0.027434276
              105             -105            -22.4      0.035596382      0.044070303      0.015411127     -0.026716689     -0.022167318    -0.0098879365
             -105              -75            -22.4       0.14024459       0.15125866       0.90777135       0.65102357       0.15371943       0.01951509
              -75              -75            -22.4        1.0530535       0.98544049        1.6641675        1.3812922       0.18073975      -0.10391498
              -45              -75            -22.4          2.71433        2.8236289    -0.0030377097     -0.020250991     0.0041819783     -0.018050797
              -15              -75            -22.4        1.0273037       0.96058774        -1.657003        -1.403569      -0.10454462       0.17033611
               15              -75            -22.4       0.17699961       0.19367714      -0.81682116      -0.55910349      -0.10576565      0.004036908
               45              -75            -22.4      0.048734307      0.068275332      -0.29548323      -0.17969418     -0.048154227    -0.0076775039
               75              -75            -22.4      0.036891863      0.043098994      -0.06651932     -0.061508078     -0.020502267    -0.0033808313
              105              -75            -22.4      0.016501589      0.024347251      0.038052913     -0.022506488     -0.010060944   -0.00095697655
             -105              -45            -22.4       0.22540551       0.17259274       0.51169002       0.29295057      0.072982542      0.016327636
              -75              -45            -22.4       0.81914759       0.62363094       0.56026137         0.353214      0.053268399     0.0021028821
              -45              -45            -22.4        1.2543252       0.99911571     0.0080834199     0.0011685422      0.001793777    -0.0011720054
              -15              -45            -22.4       0.86301017       0.64193231      -0.53209937      -0.35250074     -0.022182109      0.014029364
               15              -45            -22.4       0.33929384       0.23107445      -0.46433675      -0.25194222       -0.0238022     0.0069891382
               45              -45            -22.4       0.11848478      0.081366807       -0.2216602      -0.10929792      -0.01474436     0.0012771623
               75              -45            -22.4      0.043284073      0.036440767     -0.048010431     -0.046476159    -0.0075525194     0.0010165235
              105              -45            -22.4      0.012560644      0.017697342      0.054954544      -0.01612138    -0.0054420582    0.00060407375
             -105              -15            -22.4       0.13872448      0.087011755       0.17421237      0.075836599      0.035841383      0.012648119
              -75              -15            -22.4       0.41083014       0.23231046       0.17674063      0.082150273      0.015803941    0.00032268208
              -45              -15            -22.4       0.55288881       0.31246153   -0.00094522163     0.0027858648    0.00072400167   -0.00096563681
              -15              -15            -22.4       0.45479158       0.24211408      -0.18684843     -0.081666358     -0.001198244     0.0029429868
               15              -15            -22.4       0.25415871       0.12614188      -0.20161417     -0.079115756    -0.0043630167     0.0022086876
               45              -15            -22.4       0.11046283      0.055963155      -0.10979065       -0.0486454    -0.0057631512    0.00084844744
               75              -15            -22.4      0.039030824      0.027166244    -0.0059257937     -0.029666821    -0.0025803477     0.0013540983
              105              -15            -22.4     0.0091890311      0.013618191      0.071168765     -0.011819145    -0.0040911515    0.00031594932
             -105               15            -22.4      0.064911582      0.037247311     0.0070093563     0.0039502415      0.020246463     0.0068588415
              -75               15            -22.4       0.17871834      0.079851806      0.031462949       0.01795635      0.006312686   -0.00068327383
              -45               15            -22.4       0.23799548       0.09988451     -0.014165573     0.0036161444     0.0015373775    -0.0005607169
              -15               15            -22.4       0.20854712      0.085235082     -0.069375202     -0.014933676   -0.00016094718   -0.00023906655
               15               15            -22.4       0.13154854      0.056674398     -0.075834453     -0.022073716    -0.0011323194    0.00077551365
               45               15            -22.4      0.060440376      0.033746511     -0.032038346     -0.020951599   -0.00092754135    0.00064882962
               75               15            -22.4      0.018662434      0.020614946      0.028004881     -0.019712728    -0.0013950489    0.00094188255
              105               15            -22.4      0.003691545      0.011412294      0.080346741     -0.008610609    -0.0030274247    0.00047534119
