           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
             -105            -22.4              300     0.0072689485     -0.057655361    0.00095129618      -0.12142766      -0.42159188      -0.32803494
       -104.53125            -22.4              300     0.0072212992     -0.058877297    0.00095449446      -0.12441564      -0.43575934      -0.33777234
        -104.0625            -22.4              300     0.0071620224     -0.060104676    0.00096111139      -0.12750159      -0.45031154      -0.34777015
       -103.59375            -22.4              300     0.0070295492     -0.061382614    0.00097629079      -0.13068268       -0.4652403      -0.35801774
         -103.125            -22.4              300     0.0068238741      -0.06271112      0.001000039      -0.13395891      -0.48054552       -0.3685151
       -102.65625            -22.4              300     0.0065449974      -0.06409017     0.0010323527      -0.13733025      -0.49622717      -0.37926215
        -102.1875            -22.4              300     0.0061819935      -0.06552989     0.0010860533      -0.14078674      -0.51228726      -0.39025983
       -101.71875            -22.4              300     0.0057619102     -0.067037709     0.0011537048      -0.14435746      -0.52891606      -0.40165851
          -101.25            -22.4              300     0.0053985394     -0.068493865     0.0012079612      -0.14805259      -0.54593819      -0.41331235
       -100.78125            -22.4              300     0.0050966162     -0.069894858     0.0012529109      -0.15187275      -0.56336039      -0.42523357
        -100.3125            -22.4              300     0.0048564086     -0.071240515     0.0012891379      -0.15581822      -0.58118367      -0.43742397
        -99.84375            -22.4              300     0.0046802522     -0.072531052     0.0013175866      -0.15988833      -0.59941268      -0.44988745
          -99.375            -22.4              300      0.004498722     -0.073834985     0.0013590897      -0.16407095      -0.61814451      -0.46269152
        -98.90625            -22.4              300     0.0042110635     -0.075206101     0.0014139253      -0.16836883      -0.63737679      -0.47582108
         -98.4375            -22.4              300     0.0038172666     -0.076644436     0.0014821033      -0.17278194      -0.65710962      -0.48927617
        -97.96875            -22.4              300      0.003317331     -0.078149967     0.0015636208      -0.17731029      -0.67734271       -0.5030567
            -97.5            -22.4              300     0.0027112709     -0.079722695     0.0016584639      -0.18195392      -0.69807637       -0.5171628
        -97.03125            -22.4              300      0.001919667     -0.081421077     0.0017902966      -0.18668467      -0.71933258      -0.53158486
         -96.5625            -22.4              300     0.0011293483     -0.083101019     0.0019207089      -0.19157419      -0.74116212      -0.54634655
        -96.09375            -22.4              300      0.000432336     -0.084693193     0.0020265761      -0.19665651      -0.76356494       -0.5614593
          -95.625            -22.4              300   -0.00017136685     -0.086197577     0.0021078847      -0.20193158      -0.78654104      -0.57692313
        -95.15625            -22.4              300   -0.00070480187     -0.087651677     0.0021496008      -0.20741251      -0.81015784      -0.59276283
         -94.6875            -22.4              300    -0.0011700083      -0.08902932     0.0021453691      -0.21310255      -0.83435553      -0.60898018
        -94.21875            -22.4              300    -0.0017133241     -0.090403669     0.0020889908      -0.21900274      -0.85906184      -0.62551188
           -93.75            -22.4              300    -0.0024110982     -0.091882274     0.0019953991      -0.22508401      -0.88435769      -0.64237952
        -93.28125            -22.4              300    -0.0032473798     -0.093447253     0.0018900756      -0.23131843       -0.9102273      -0.65958858
         -92.8125            -22.4              300    -0.0042221844     -0.095098592     0.0017730263      -0.23770604      -0.93667048      -0.67713892
        -92.34375            -22.4              300     -0.005335521     -0.096836306     0.0016442543      -0.24424681      -0.96368742      -0.69503063
          -91.875            -22.4              300    -0.0062421188     -0.098405346     0.0015106113      -0.25098953      -0.99135572      -0.71331859
        -91.40625            -22.4              300    -0.0069694314      -0.09979821     0.0013435297      -0.25801018       -1.0197634      -0.73203111
